Play,Character A,Character B,Scenes Together,Scenes List,Acts Together,Scenes Together (IDs)
A Midsummer Night's Dream,ALL,BOTTOM,2,"1.2, 3.1","1, 3","1, 2"
A Midsummer Night's Dream,ALL,COBWEB,1,3.1,3,1
A Midsummer Night's Dream,ALL,FLUTE,2,"1.2, 3.1","1, 3","1, 2"
A Midsummer Night's Dream,ALL,MOTH,1,3.1,3,1
A Midsummer Night's Dream,ALL,MUSTARDSEED,1,3.1,3,1
A Midsummer Night's Dream,ALL,PEASEBLOSSOM,1,3.1,3,1
A Midsummer Night's Dream,ALL,PUCK,1,3.1,3,1
A Midsummer Night's Dream,ALL,QUINCE,2,"1.2, 3.1","1, 3","1, 2"
A Midsummer Night's Dream,ALL,SNOUT,2,"1.2, 3.1","1, 3","1, 2"
A Midsummer Night's Dream,ALL,SNUG,1,1.2,1,2
A Midsummer Night's Dream,ALL,STARVELING,2,"1.2, 3.1","1, 3","1, 2"
A Midsummer Night's Dream,ALL,TITANIA,1,3.1,3,1
A Midsummer Night's Dream,BOTTOM,COBWEB,2,"3.1, 4.1","3, 4",1
A Midsummer Night's Dream,BOTTOM,DEMETRIUS,2,"4.1, 5.1","4, 5",1
A Midsummer Night's Dream,BOTTOM,EGEUS,1,4.1,4,1
A Midsummer Night's Dream,BOTTOM,FLUTE,3,"1.2, 3.1, 4.2","1, 3, 4","1, 2"
A Midsummer Night's Dream,BOTTOM,HELENA,1,4.1,4,1
A Midsummer Night's Dream,BOTTOM,HERMIA,1,4.1,4,1
A Midsummer Night's Dream,BOTTOM,HIPPOLYTA,2,"4.1, 5.1","4, 5",1
A Midsummer Night's Dream,BOTTOM,LION,1,5.1,5,1
A Midsummer Night's Dream,BOTTOM,LYSANDER,2,"4.1, 5.1","4, 5",1
A Midsummer Night's Dream,BOTTOM,MOONSHINE,1,5.1,5,1
A Midsummer Night's Dream,BOTTOM,MOTH,1,3.1,3,1
A Midsummer Night's Dream,BOTTOM,MUSTARDSEED,2,"3.1, 4.1","3, 4",1
A Midsummer Night's Dream,BOTTOM,OBERON,2,"4.1, 5.1","4, 5",1
