Play,Act,Scene,Character,Line Number,Text
A Midsummer Night's Dream,1,1,THESEUS,1,"Now, fair Hippolyta, our nuptial hour"
A Midsummer Night's Dream,1,1,THESEUS,2,Draws on apace; four happy days bring in
A Midsummer Night's Dream,1,1,THESEUS,3,"Another moon: but, O, methinks, how slow"
A Midsummer Night's Dream,1,1,THESEUS,4,"This old moon wanes! she lingers my desires,"
A Midsummer Night's Dream,1,1,THESEUS,5,Like to a step-dame or a dowager
A Midsummer Night's Dream,1,1,THESEUS,6,Long withering out a young man revenue.
A Midsummer Night's Dream,1,1,HIPPOLYTA,1,Four days will quickly steep themselves in night;
A Midsummer Night's Dream,1,1,HIPPOLYTA,2,Four nights will quickly dream away the time;
A Midsummer Night's Dream,1,1,HIPPOLYTA,3,"And then the moon, like to a silver bow"
A Midsummer Night's Dream,1,1,HIPPOLYTA,4,"New-bent in heaven, shall behold the night"
A Midsummer Night's Dream,1,1,HIPPOLYTA,5,Of our solemnities.
A Midsummer Night's Dream,1,1,THESEUS,1,"Go, Philostrate,"
A Midsummer Night's Dream,1,1,THESEUS,2,Stir up the Athenian youth to merriments;
A Midsummer Night's Dream,1,1,THESEUS,3,Awake the pert and nimble spirit of mirth;
A Midsummer Night's Dream,1,1,THESEUS,4,Turn melancholy forth to funerals;
A Midsummer Night's Dream,1,1,THESEUS,5,The pale companion is not for our pomp.
A Midsummer Night's Dream,1,1,THESEUS,6,"Hippolyta, I woo'd thee with my sword,"
A Midsummer Night's Dream,1,1,THESEUS,7,"And won thy love, doing thee injuries;"
A Midsummer Night's Dream,1,1,THESEUS,8,"But I will wed thee in another key,"
A Midsummer Night's Dream,1,1,THESEUS,9,"With pomp, with triumph and with revelling."
A Midsummer Night's Dream,1,1,EGEUS,1,"Happy be Theseus, our renowned duke!"
A Midsummer Night's Dream,1,1,THESEUS,1,"Thanks, good Egeus: what's the news with thee?"
A Midsummer Night's Dream,1,1,EGEUS,1,"Full of vexation come I, with complaint"
A Midsummer Night's Dream,1,1,EGEUS,2,"Against my child, my daughter Hermia."
A Midsummer Night's Dream,1,1,EGEUS,3,"Stand forth, Demetrius. My noble lord,"
A Midsummer Night's Dream,1,1,EGEUS,4,This man hath my consent to marry her.
A Midsummer Night's Dream,1,1,EGEUS,5,"Stand forth, Lysander: and my gracious duke,"
A Midsummer Night's Dream,1,1,EGEUS,6,This man hath bewitch'd the bosom of my child;
A Midsummer Night's Dream,1,1,EGEUS,7,"Thou, thou, Lysander, thou hast given her rhymes,"
A Midsummer Night's Dream,1,1,EGEUS,8,And interchanged love-tokens with my child:
A Midsummer Night's Dream,1,1,EGEUS,9,"Thou hast by moonlight at her window sung,"
A Midsummer Night's Dream,1,1,EGEUS,10,"With feigning voice verses of feigning love,"
A Midsummer Night's Dream,1,1,EGEUS,11,And stolen the impression of her fantasy
A Midsummer Night's Dream,1,1,EGEUS,12,"With bracelets of thy hair, rings, gawds, conceits,"
A Midsummer Night's Dream,1,1,EGEUS,13,"Knacks, trifles, nosegays, sweetmeats, messengers"
A Midsummer Night's Dream,1,1,EGEUS,14,Of strong prevailment in unharden'd youth:
A Midsummer Night's Dream,1,1,EGEUS,15,"With cunning hast thou filch'd my daughter's heart,"
A Midsummer Night's Dream,1,1,EGEUS,16,"Turn'd her obedience, which is due to me,"
A Midsummer Night's Dream,1,1,EGEUS,17,"To stubborn harshness: and, my gracious duke,"
A Midsummer Night's Dream,1,1,EGEUS,18,Be it so she; will not here before your grace
A Midsummer Night's Dream,1,1,EGEUS,19,"Consent to marry with Demetrius,"
A Midsummer Night's Dream,1,1,EGEUS,20,"I beg the ancient privilege of Athens,"
A Midsummer Night's Dream,1,1,EGEUS,21,"As she is mine, I may dispose of her:"
A Midsummer Night's Dream,1,1,EGEUS,22,Which shall be either to this gentleman
A Midsummer Night's Dream,1,1,EGEUS,23,"Or to her death, according to our law"
A Midsummer Night's Dream,1,1,EGEUS,24,Immediately provided in that case.
A Midsummer Night's Dream,1,1,THESEUS,1,"What say you, Hermia? be advised fair maid:"
A Midsummer Night's Dream,1,1,THESEUS,2,To you your father should be as a god;
A Midsummer Night's Dream,1,1,THESEUS,3,"One that composed your beauties, yea, and one"
A Midsummer Night's Dream,1,1,THESEUS,4,To whom you are but as a form in wax
A Midsummer Night's Dream,1,1,THESEUS,5,By him imprinted and within his power
A Midsummer Night's Dream,1,1,THESEUS,6,To leave the figure or disfigure it.
A Midsummer Night's Dream,1,1,THESEUS,7,Demetrius is a worthy gentleman.
A Midsummer Night's Dream,1,1,HERMIA,1,So is Lysander.
A Midsummer Night's Dream,1,1,THESEUS,1,In himself he is;
A Midsummer Night's Dream,1,1,THESEUS,2,"But in this kind, wanting your father's voice,"
A Midsummer Night's Dream,1,1,THESEUS,3,The other must be held the worthier.
A Midsummer Night's Dream,1,1,HERMIA,1,I would my father look'd but with my eyes.
A Midsummer Night's Dream,1,1,THESEUS,1,Rather your eyes must with his judgment look.
A Midsummer Night's Dream,1,1,HERMIA,1,I do entreat your grace to pardon me.
A Midsummer Night's Dream,1,1,HERMIA,2,"I know not by what power I am made bold,"
A Midsummer Night's Dream,1,1,HERMIA,3,"Nor how it may concern my modesty,"
A Midsummer Night's Dream,1,1,HERMIA,4,In such a presence here to plead my thoughts;
A Midsummer Night's Dream,1,1,HERMIA,5,But I beseech your grace that I may know
A Midsummer Night's Dream,1,1,HERMIA,6,"The worst that may befall me in this case,"
A Midsummer Night's Dream,1,1,HERMIA,7,If I refuse to wed Demetrius.
A Midsummer Night's Dream,1,1,THESEUS,1,Either to die the death or to abjure
A Midsummer Night's Dream,1,1,THESEUS,2,For ever the society of men.
A Midsummer Night's Dream,1,1,THESEUS,3,"Therefore, fair Hermia, question your desires;"
A Midsummer Night's Dream,1,1,THESEUS,4,"Know of your youth, examine well your blood,"
A Midsummer Night's Dream,1,1,THESEUS,5,"Whether, if you yield not to your father's choice,"
A Midsummer Night's Dream,1,1,THESEUS,6,"You can endure the livery of a nun,"
A Midsummer Night's Dream,1,1,THESEUS,7,"For aye to be in shady cloister mew'd,"
A Midsummer Night's Dream,1,1,THESEUS,8,"To live a barren sister all your life,"
A Midsummer Night's Dream,1,1,THESEUS,9,Chanting faint hymns to the cold fruitless moon.
A Midsummer Night's Dream,1,1,THESEUS,10,"Thrice-blessed they that master so their blood,"
A Midsummer Night's Dream,1,1,THESEUS,11,To undergo such maiden pilgrimage;
A Midsummer Night's Dream,1,1,THESEUS,12,"But earthlier happy is the rose distill'd,"
A Midsummer Night's Dream,1,1,THESEUS,13,Than that which withering on the virgin thorn
A Midsummer Night's Dream,1,1,THESEUS,14,"Grows, lives and dies in single blessedness."
A Midsummer Night's Dream,1,1,HERMIA,1,"So will I grow, so live, so die, my lord,"
A Midsummer Night's Dream,1,1,HERMIA,2,Ere I will my virgin patent up
A Midsummer Night's Dream,1,1,HERMIA,3,"Unto his lordship, whose unwished yoke"
A Midsummer Night's Dream,1,1,HERMIA,4,My soul consents not to give sovereignty.
A Midsummer Night's Dream,1,1,THESEUS,1,"Take time to pause; and, by the nest new moon--"
A Midsummer Night's Dream,1,1,THESEUS,2,"The sealing-day betwixt my love and me,"
A Midsummer Night's Dream,1,1,THESEUS,3,For everlasting bond of fellowship--
A Midsummer Night's Dream,1,1,THESEUS,4,Upon that day either prepare to die
A Midsummer Night's Dream,1,1,THESEUS,5,"For disobedience to your father's will,"
A Midsummer Night's Dream,1,1,THESEUS,6,"Or else to wed Demetrius, as he would;"
A Midsummer Night's Dream,1,1,THESEUS,7,Or on Diana's altar to protest
A Midsummer Night's Dream,1,1,THESEUS,8,For aye austerity and single life.
A Midsummer Night's Dream,1,1,DEMETRIUS,1,"Relent, sweet Hermia: and, Lysander, yield"
A Midsummer Night's Dream,1,1,DEMETRIUS,2,Thy crazed title to my certain right.
A Midsummer Night's Dream,1,1,LYSANDER,1,"You have her father's love, Demetrius;"
A Midsummer Night's Dream,1,1,LYSANDER,2,Let me have Hermia's: do you marry him.
A Midsummer Night's Dream,1,1,EGEUS,1,"Scornful Lysander! true, he hath my love,"
A Midsummer Night's Dream,1,1,EGEUS,2,And what is mine my love shall render him.
A Midsummer Night's Dream,1,1,EGEUS,3,"And she is mine, and all my right of her"
A Midsummer Night's Dream,1,1,EGEUS,4,I do estate unto Demetrius.
A Midsummer Night's Dream,1,1,LYSANDER,1,"I am, my lord, as well derived as he,"
A Midsummer Night's Dream,1,1,LYSANDER,2,As well possess'd; my love is more than his;
A Midsummer Night's Dream,1,1,LYSANDER,3,"My fortunes every way as fairly rank'd,"
A Midsummer Night's Dream,1,1,LYSANDER,4,"If not with vantage, as Demetrius';"
A Midsummer Night's Dream,1,1,LYSANDER,5,"And, which is more than all these boasts can be,"
A Midsummer Night's Dream,1,1,LYSANDER,6,I am beloved of beauteous Hermia:
A Midsummer Night's Dream,1,1,LYSANDER,7,Why should not I then prosecute my right?
A Midsummer Night's Dream,1,1,LYSANDER,8,"Demetrius, I'll avouch it to his head,"
A Midsummer Night's Dream,1,1,LYSANDER,9,"Made love to Nedar's daughter, Helena,"
A Midsummer Night's Dream,1,1,LYSANDER,10,"And won her soul; and she, sweet lady, dotes,"
A Midsummer Night's Dream,1,1,LYSANDER,11,"Devoutly dotes, dotes in idolatry,"
A Midsummer Night's Dream,1,1,LYSANDER,12,Upon this spotted and inconstant man.
A Midsummer Night's Dream,1,1,THESEUS,1,"I must confess that I have heard so much,"
A Midsummer Night's Dream,1,1,THESEUS,2,And with Demetrius thought to have spoke thereof;
A Midsummer Night's Dream,1,1,THESEUS,3,"But, being over-full of self-affairs,"
A Midsummer Night's Dream,1,1,THESEUS,4,"My mind did lose it. But, Demetrius, come;"
A Midsummer Night's Dream,1,1,THESEUS,5,"And come, Egeus; you shall go with me,"
A Midsummer Night's Dream,1,1,THESEUS,6,I have some private schooling for you both.
A Midsummer Night's Dream,1,1,THESEUS,7,"For you, fair Hermia, look you arm yourself"
A Midsummer Night's Dream,1,1,THESEUS,8,To fit your fancies to your father's will;
A Midsummer Night's Dream,1,1,THESEUS,9,Or else the law of Athens yields you up--
A Midsummer Night's Dream,1,1,THESEUS,10,Which by no means we may extenuate--
A Midsummer Night's Dream,1,1,THESEUS,11,"To death, or to a vow of single life."
A Midsummer Night's Dream,1,1,THESEUS,12,"Come, my Hippolyta: what cheer, my love?"
A Midsummer Night's Dream,1,1,THESEUS,13,"Demetrius and Egeus, go along:"
A Midsummer Night's Dream,1,1,THESEUS,14,I must employ you in some business
A Midsummer Night's Dream,1,1,THESEUS,15,Against our nuptial and confer with you
A Midsummer Night's Dream,1,1,THESEUS,16,Of something nearly that concerns yourselves.
A Midsummer Night's Dream,1,1,EGEUS,1,With duty and desire we follow you.
A Midsummer Night's Dream,1,1,LYSANDER,1,"How now, my love! why is your cheek so pale?"
A Midsummer Night's Dream,1,1,LYSANDER,2,How chance the roses there do fade so fast?
A Midsummer Night's Dream,1,1,HERMIA,1,"Belike for want of rain, which I could well"
A Midsummer Night's Dream,1,1,HERMIA,2,Beteem them from the tempest of my eyes.
A Midsummer Night's Dream,1,1,LYSANDER,1,"Ay me! for aught that I could ever read,"
A Midsummer Night's Dream,1,1,LYSANDER,2,"Could ever hear by tale or history,"
A Midsummer Night's Dream,1,1,LYSANDER,3,The course of true love never did run smooth;
A Midsummer Night's Dream,1,1,LYSANDER,4,"But, either it was different in blood,--"
A Midsummer Night's Dream,1,1,HERMIA,1,O cross! too high to be enthrall'd to low.
A Midsummer Night's Dream,1,1,LYSANDER,1,"Or else misgraffed in respect of years,--"
A Midsummer Night's Dream,1,1,HERMIA,1,O spite! too old to be engaged to young.
A Midsummer Night's Dream,1,1,LYSANDER,1,"Or else it stood upon the choice of friends,--"
A Midsummer Night's Dream,1,1,HERMIA,1,O hell! to choose love by another's eyes.
A Midsummer Night's Dream,1,1,LYSANDER,1,"Or, if there were a sympathy in choice,"
A Midsummer Night's Dream,1,1,LYSANDER,2,"War, death, or sickness did lay siege to it,"
A Midsummer Night's Dream,1,1,LYSANDER,3,"Making it momentany as a sound,"
A Midsummer Night's Dream,1,1,LYSANDER,4,"Swift as a shadow, short as any dream;"
A Midsummer Night's Dream,1,1,LYSANDER,5,"Brief as the lightning in the collied night,"
A Midsummer Night's Dream,1,1,LYSANDER,6,"That, in a spleen, unfolds both heaven and earth,"
A Midsummer Night's Dream,1,1,LYSANDER,7,And ere a man hath power to say 'Behold!'
A Midsummer Night's Dream,1,1,LYSANDER,8,The jaws of darkness do devour it up:
A Midsummer Night's Dream,1,1,LYSANDER,9,So quick bright things come to confusion.
A Midsummer Night's Dream,1,1,HERMIA,1,"If then true lovers have been ever cross'd,"
A Midsummer Night's Dream,1,1,HERMIA,2,It stands as an edict in destiny:
A Midsummer Night's Dream,1,1,HERMIA,3,"Then let us teach our trial patience,"
A Midsummer Night's Dream,1,1,HERMIA,4,"Because it is a customary cross,"
A Midsummer Night's Dream,1,1,HERMIA,5,"As due to love as thoughts and dreams and sighs,"
A Midsummer Night's Dream,1,1,HERMIA,6,"Wishes and tears, poor fancy's followers."
A Midsummer Night's Dream,1,1,LYSANDER,1,"A good persuasion: therefore, hear me, Hermia."
A Midsummer Night's Dream,1,1,LYSANDER,2,"I have a widow aunt, a dowager"
A Midsummer Night's Dream,1,1,LYSANDER,3,"Of great revenue, and she hath no child:"
A Midsummer Night's Dream,1,1,LYSANDER,4,From Athens is her house remote seven leagues;
A Midsummer Night's Dream,1,1,LYSANDER,5,And she respects me as her only son.
A Midsummer Night's Dream,1,1,LYSANDER,6,"There, gentle Hermia, may I marry thee;"
A Midsummer Night's Dream,1,1,LYSANDER,7,And to that place the sharp Athenian law
A Midsummer Night's Dream,1,1,LYSANDER,8,"Cannot pursue us. If thou lovest me then,"
A Midsummer Night's Dream,1,1,LYSANDER,9,Steal forth thy father's house to-morrow night;
A Midsummer Night's Dream,1,1,LYSANDER,10,"And in the wood, a league without the town,"
A Midsummer Night's Dream,1,1,LYSANDER,11,"Where I did meet thee once with Helena,"
A Midsummer Night's Dream,1,1,LYSANDER,12,"To do observance to a morn of May,"
A Midsummer Night's Dream,1,1,LYSANDER,13,There will I stay for thee.
A Midsummer Night's Dream,1,1,HERMIA,1,My good Lysander!
A Midsummer Night's Dream,1,1,HERMIA,2,"I swear to thee, by Cupid's strongest bow,"
A Midsummer Night's Dream,1,1,HERMIA,3,"By his best arrow with the golden head,"
A Midsummer Night's Dream,1,1,HERMIA,4,"By the simplicity of Venus' doves,"
A Midsummer Night's Dream,1,1,HERMIA,5,"By that which knitteth souls and prospers loves,"
A Midsummer Night's Dream,1,1,HERMIA,6,"And by that fire which burn'd the Carthage queen,"
A Midsummer Night's Dream,1,1,HERMIA,7,"When the false Troyan under sail was seen,"
A Midsummer Night's Dream,1,1,HERMIA,8,"By all the vows that ever men have broke,"
A Midsummer Night's Dream,1,1,HERMIA,9,"In number more than ever women spoke,"
A Midsummer Night's Dream,1,1,HERMIA,10,"In that same place thou hast appointed me,"
A Midsummer Night's Dream,1,1,HERMIA,11,To-morrow truly will I meet with thee.
A Midsummer Night's Dream,1,1,LYSANDER,1,"Keep promise, love. Look, here comes Helena."
A Midsummer Night's Dream,1,1,HERMIA,1,God speed fair Helena! whither away?
A Midsummer Night's Dream,1,1,HELENA,1,Call you me fair? that fair again unsay.
A Midsummer Night's Dream,1,1,HELENA,2,Demetrius loves your fair: O happy fair!
A Midsummer Night's Dream,1,1,HELENA,3,Your eyes are lode-stars; and your tongue's sweet air
A Midsummer Night's Dream,1,1,HELENA,4,"More tuneable than lark to shepherd's ear,"
A Midsummer Night's Dream,1,1,HELENA,5,"When wheat is green, when hawthorn buds appear."
A Midsummer Night's Dream,1,1,HELENA,6,"Sickness is catching: O, were favour so,"
A Midsummer Night's Dream,1,1,HELENA,7,"Yours would I catch, fair Hermia, ere I go;"
A Midsummer Night's Dream,1,1,HELENA,8,"My ear should catch your voice, my eye your eye,"
A Midsummer Night's Dream,1,1,HELENA,9,My tongue should catch your tongue's sweet melody.
A Midsummer Night's Dream,1,1,HELENA,10,"Were the world mine, Demetrius being bated,"
A Midsummer Night's Dream,1,1,HELENA,11,The rest I'd give to be to you translated.
A Midsummer Night's Dream,1,1,HELENA,12,"O, teach me how you look, and with what art"
A Midsummer Night's Dream,1,1,HELENA,13,You sway the motion of Demetrius' heart.
A Midsummer Night's Dream,1,1,HERMIA,1,"I frown upon him, yet he loves me still."
A Midsummer Night's Dream,1,1,HELENA,1,O that your frowns would teach my smiles such skill!
A Midsummer Night's Dream,1,1,HERMIA,1,"I give him curses, yet he gives me love."
A Midsummer Night's Dream,1,1,HELENA,1,O that my prayers could such affection move!
A Midsummer Night's Dream,1,1,HERMIA,1,"The more I hate, the more he follows me."
A Midsummer Night's Dream,1,1,HELENA,1,"The more I love, the more he hateth me."
A Midsummer Night's Dream,1,1,HERMIA,1,"His folly, Helena, is no fault of mine."
A Midsummer Night's Dream,1,1,HELENA,1,"None, but your beauty: would that fault were mine!"
A Midsummer Night's Dream,1,1,HERMIA,1,Take comfort: he no more shall see my face;
A Midsummer Night's Dream,1,1,HERMIA,2,Lysander and myself will fly this place.
A Midsummer Night's Dream,1,1,HERMIA,3,"Before the time I did Lysander see,"
A Midsummer Night's Dream,1,1,HERMIA,4,Seem'd Athens as a paradise to me:
A Midsummer Night's Dream,1,1,HERMIA,5,"O, then, what graces in my love do dwell,"
A Midsummer Night's Dream,1,1,HERMIA,6,That he hath turn'd a heaven unto a hell!
