play,character,campbell_archetype
A Midsummer Night's Dream,ALL,Herald
A Midsummer Night's Dream,BOTTOM,Trickster
A Midsummer Night's Dream,TITANIA,Shapeshifter
A Midsummer Night's Dream,THISBE,Ally
A Midsummer Night's Dream,THESEUS,Threshold Guardian
A Midsummer Night's Dream,STARVELING,Ally
A Midsummer Night's Dream,SNUG,Ally
A Midsummer Night's Dream,SNOUT,Ally
A Midsummer Night's Dream,QUINCE,Mentor
A Midsummer Night's Dream,PYRAMUS,Hero
A Midsummer Night's Dream,PUCK,Trickster
A Midsummer Night's Dream,PROLOGUE,Herald
A Midsummer Night's Dream,PHILOSTRATE,Herald
A Midsummer Night's Dream,PEASEBLOSSOM,Ally
A Midsummer Night's Dream,OBERON,Mentor
A Midsummer Night's Dream,MUSTARDSEED,Ally
A Midsummer Night's Dream,MOTH,Ally
A Midsummer Night's Dream,MOONSHINE,Trickster
A Midsummer Night's Dream,LYSANDER,Hero
A Midsummer Night's Dream,LION,Trickster
A Midsummer Night's Dream,HIPPOLYTA,Ally
A Midsummer Night's Dream,HERNIA,Herald
A Midsummer Night's Dream,HERMIA,Hero
A Midsummer Night's Dream,HELENA,Hero
A Midsummer Night's Dream,FLUTE,Ally
A Midsummer Night's Dream,FAIRY,Herald
A Midsummer Night's Dream,EGEUS,Threshold Guardian
A Midsummer Night's Dream,DEMETRIUS,Hero
A Midsummer Night's Dream,COBWEB,Ally
A Midsummer Night's Dream,WALL,Trickster
"The Tragedy of Hamlet, Prince of Denmark",ALL,Herald
"The Tragedy of Hamlet, Prince of Denmark",PLAYER QUEEN,Ally
"The Tragedy of Hamlet, Prince of Denmark",LUCIANUS,Shadow
"The Tragedy of Hamlet, Prince of Denmark",MARCELLUS,Ally
"The Tragedy of Hamlet, Prince of Denmark",MESSENGER,Herald
"The Tragedy of Hamlet, Prince of Denmark",OPHELIA,Ally
"The Tragedy of Hamlet, Prince of Denmark",OSRIC,Trickster
"The Tragedy of Hamlet, Prince of Denmark",PLAYER KING,Ally
"The Tragedy of Hamlet, Prince of Denmark",PRINCE FORTINBRAS,Hero
"The Tragedy of Hamlet, Prince of Denmark",LORD,Herald
"The Tragedy of Hamlet, Prince of Denmark",PROLOGUE,Herald
"The Tragedy of Hamlet, Prince of Denmark",QUEEN GERTRUDE,Shapeshifter
"The Tragedy of Hamlet, Prince of Denmark",REYNALDO,Ally
"The Tragedy of Hamlet, Prince of Denmark",ROSENCRANTZ,Shapeshifter
"The Tragedy of Hamlet, Prince of Denmark",SECOND CLOWN,Trickster
"The Tragedy of Hamlet, Prince of Denmark",SERVANT,Herald
"The Tragedy of Hamlet, Prince of Denmark",LORD POLONIUS,Mentor
"The Tragedy of Hamlet, Prince of Denmark",LAERTES,Shadow
"The Tragedy of Hamlet, Prince of Denmark",BERNARDO,Ally
"The Tragedy of Hamlet, Prince of Denmark",FIRST PRIEST,Threshold Guardian
"The Tragedy of Hamlet, Prince of Denmark",CAPTAIN,Herald
"The Tragedy of Hamlet, Prince of Denmark",CORNELIUS,Herald
"The Tragedy of Hamlet, Prince of Denmark",DANES,Herald
"The Tragedy of Hamlet, Prince of Denmark",FIRST AMBASSADOR,Herald
"The Tragedy of Hamlet, Prince of Denmark",FIRST CLOWN,Trickster
"The Tragedy of Hamlet, Prince of Denmark",FIRST PLAYER,Ally
"The Tragedy of Hamlet, Prince of Denmark",FIRST SAILOR,Herald
"The Tragedy of Hamlet, Prince of Denmark",KING CLAUDIUS,Shadow
