Play,Character,Total Speeches,Total Lines,Scenes Appeared,Acts Appeared,Speech Share (%),Line Share (%),Avg Speeches/Scene,Avg Lines/Speech,Verbosity,Talkativeness,Dominance,Focus (Lines/Act),Breadth (Scene Ratio),Role Type
A Midsummer Night's Dream,THESEUS,48,233,3,3,9.6,10.79,16.0,4.85,4.85,16.0,10.79,77.67,0.33,main
A Midsummer Night's Dream,HELENA,36,229,5,4,7.2,10.61,7.2,6.36,6.36,7.2,10.61,57.25,0.56,main
A Midsummer Night's Dream,OBERON,29,226,5,4,5.8,10.47,5.8,7.79,7.79,5.8,10.47,56.5,0.56,main
A Midsummer Night's Dream,PUCK,33,209,6,4,6.6,9.68,5.5,6.33,6.33,5.5,9.68,52.25,0.67,main
A Midsummer Night's Dream,BOTTOM,50,204,5,4,10.0,9.45,10.0,4.08,4.08,10.0,9.45,51.0,0.56,main
A Midsummer Night's Dream,LYSANDER,50,178,5,5,10.0,8.24,10.0,3.56,3.56,10.0,8.24,35.6,0.56,main
A Midsummer Night's Dream,HERMIA,47,165,4,4,9.4,7.64,11.75,3.51,3.51,11.75,7.64,41.25,0.44,main
A Midsummer Night's Dream,TITANIA,23,158,5,4,4.6,7.32,4.6,6.87,6.87,4.6,7.32,39.5,0.56,main
A Midsummer Night's Dream,DEMETRIUS,48,134,6,5,9.6,6.21,8.0,2.79,2.79,8.0,6.21,26.8,0.67,main
A Midsummer Night's Dream,QUINCE,38,83,3,3,7.6,3.84,12.67,2.18,2.18,12.67,3.84,27.67,0.33,main
A Midsummer Night's Dream,PYRAMUS,9,56,1,1,1.8,2.59,9.0,6.22,6.22,9.0,2.59,56.0,0.11,side
A Midsummer Night's Dream,EGEUS,7,41,2,2,1.4,1.9,3.5,5.86,5.86,3.5,1.9,20.5,0.22,main
A Midsummer Night's Dream,PROLOGUE,2,35,1,1,0.4,1.62,2.0,17.5,17.5,2.0,1.62,35.0,0.11,side
A Midsummer Night's Dream,HIPPOLYTA,14,34,3,3,2.8,1.57,4.67,2.43,2.43,4.67,1.57,11.33,0.33,main
A Midsummer Night's Dream,THISBE,8,34,1,1,1.6,1.57,8.0,4.25,4.25,8.0,1.57,34.0,0.11,side
A Midsummer Night's Dream,FAIRY,4,30,2,1,0.8,1.39,2.0,7.5,7.5,2.0,1.39,30.0,0.22,side
A Midsummer Night's Dream,PHILOSTRATE,6,24,1,1,1.2,1.11,6.0,4.0,4.0,6.0,1.11,24.0,0.11,main
A Midsummer Night's Dream,FLUTE,10,23,3,3,2.0,1.07,3.33,2.3,2.3,3.33,1.07,7.67,0.33,main
A Midsummer Night's Dream,WALL,2,12,1,1,0.4,0.56,2.0,6.0,6.0,2.0,0.56,12.0,0.11,side
A Midsummer Night's Dream,LION,2,9,1,1,0.4,0.42,2.0,4.5,4.5,2.0,0.42,9.0,0.11,side
A Midsummer Night's Dream,SNOUT,7,7,2,2,1.4,0.32,3.5,1.0,1.0,3.5,0.32,3.5,0.22,main
A Midsummer Night's Dream,MOONSHINE,3,6,1,1,0.6,0.28,3.0,2.0,2.0,3.0,0.28,6.0,0.11,side
A Midsummer Night's Dream,SNUG,2,6,2,2,0.4,0.28,1.0,3.0,3.0,1.0,0.28,3.0,0.22,main
A Midsummer Night's Dream,STARVELING,4,5,3,3,0.8,0.23,1.33,1.25,1.25,1.33,0.23,1.67,0.33,main
A Midsummer Night's Dream,MUSTARDSEED,5,5,2,2,1.0,0.23,2.5,1.0,1.0,2.5,0.23,2.5,0.22,main
A Midsummer Night's Dream,PEASEBLOSSOM,4,4,2,2,0.8,0.19,2.0,1.0,1.0,2.0,0.19,2.0,0.22,main
A Midsummer Night's Dream,COBWEB,4,4,2,2,0.8,0.19,2.0,1.0,1.0,2.0,0.19,2.0,0.22,main
A Midsummer Night's Dream,MOTH,2,2,1,1,0.4,0.09,2.0,1.0,1.0,2.0,0.09,2.0,0.11,main
A Midsummer Night's Dream,ALL,2,2,2,2,0.4,0.09,1.0,1.0,1.0,1.0,0.09,1.0,0.22,side
A Midsummer Night's Dream,HERNIA,1,1,1,1,0.2,0.05,1.0,1.0,1.0,1.0,0.05,1.0,0.11,side
"The Tragedy of Hamlet, Prince of Denmark",HAMLET,359,1495,13,5,31.22,37.13,27.62,4.16,4.16,27.62,37.13,299.0,0.65,main
"The Tragedy of Hamlet, Prince of Denmark",KING CLAUDIUS,102,550,11,5,8.87,13.66,9.27,5.39,5.39,9.27,13.66,110.0,0.55,side
"The Tragedy of Hamlet, Prince of Denmark",LORD POLONIUS,86,355,8,3,7.48,8.82,10.75,4.13,4.13,10.75,8.82,118.33,0.4,side
"The Tragedy of Hamlet, Prince of Denmark",HORATIO,112,291,9,4,9.74,7.23,12.44,2.6,2.6,12.44,7.23,72.75,0.45,main
"The Tragedy of Hamlet, Prince of Denmark",LAERTES,62,206,6,3,5.39,5.12,10.33,3.32,3.32,10.33,5.12,68.67,0.3,main
"The Tragedy of Hamlet, Prince of Denmark",OPHELIA,58,173,5,4,5.04,4.3,11.6,2.98,2.98,11.6,4.3,43.25,0.25,main
"The Tragedy of Hamlet, Prince of Denmark",QUEEN GERTRUDE,69,157,10,5,6.0,3.9,6.9,2.28,2.28,6.9,3.9,31.4,0.5,side
"The Tragedy of Hamlet, Prince of Denmark",ROSENCRANTZ,49,97,7,3,4.26,2.41,7.0,1.98,1.98,7.0,2.41,32.33,0.35,main
"The Tragedy of Hamlet, Prince of Denmark",GHOST,14,95,2,2,1.22,2.36,7.0,6.79,6.79,7.0,2.36,47.5,0.1,side
"The Tragedy of Hamlet, Prince of Denmark",FIRST CLOWN,33,93,1,1,2.87,2.31,33.0,2.82,2.82,33.0,2.31,93.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",MARCELLUS,36,67,4,1,3.13,1.66,9.0,1.86,1.86,9.0,1.66,67.0,0.2,main
"The Tragedy of Hamlet, Prince of Denmark",GUILDENSTERN,33,53,5,3,2.87,1.32,6.6,1.61,1.61,6.6,1.32,17.67,0.25,main
"The Tragedy of Hamlet, Prince of Denmark",FIRST PLAYER,8,52,2,2,0.7,1.29,4.0,6.5,6.5,4.0,1.29,26.0,0.1,side
"The Tragedy of Hamlet, Prince of Denmark",OSRIC,25,48,1,1,2.17,1.19,25.0,1.92,1.92,25.0,1.19,48.0,0.05,main
"The Tragedy of Hamlet, Prince of Denmark",PLAYER KING,4,44,1,1,0.35,1.09,4.0,11.0,11.0,4.0,1.09,44.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",BERNARDO,23,38,2,1,2.0,0.94,11.5,1.65,1.65,11.5,0.94,38.0,0.1,main
"The Tragedy of Hamlet, Prince of Denmark",PLAYER QUEEN,5,30,1,1,0.43,0.75,5.0,6.0,6.0,5.0,0.75,30.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",PRINCE FORTINBRAS,6,27,2,2,0.52,0.67,3.0,4.5,4.5,3.0,0.67,13.5,0.1,side
"The Tragedy of Hamlet, Prince of Denmark",GENTLEMAN,3,24,1,1,0.26,0.6,3.0,8.0,8.0,3.0,0.6,24.0,0.05,side
