Play,Character A,Character B,Scenes Together,Scenes List,Acts Together,Scenes Together (IDs)
"The Tragedy of Hamlet, Prince of Denmark",ALL,BERNARDO,1,1.2,1,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,CORNELIUS,1,1.2,1,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,FIRST AMBASSADOR,1,5.2,5,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,FIRST CLOWN,1,5.1,5,1
"The Tragedy of Hamlet, Prince of Denmark",ALL,FIRST PLAYER,1,3.2,3,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,FIRST PRIEST,1,5.1,5,1
"The Tragedy of Hamlet, Prince of Denmark",ALL,GUILDENSTERN,1,3.2,3,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,HAMLET,4,"1.2, 3.2, 5.1, 5.2","1, 3, 5","1, 2"
"The Tragedy of Hamlet, Prince of Denmark",ALL,HORATIO,4,"1.2, 3.2, 5.1, 5.2","1, 3, 5","1, 2"
"The Tragedy of Hamlet, Prince of Denmark",ALL,KING CLAUDIUS,4,"1.2, 3.2, 5.1, 5.2","1, 3, 5","1, 2"
"The Tragedy of Hamlet, Prince of Denmark",ALL,LAERTES,3,"1.2, 5.1, 5.2","1, 5","1, 2"
"The Tragedy of Hamlet, Prince of Denmark",ALL,LORD,1,5.2,5,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,LORD POLONIUS,2,"1.2, 3.2","1, 3",2
"The Tragedy of Hamlet, Prince of Denmark",ALL,LUCIANUS,1,3.2,3,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,MARCELLUS,1,1.2,1,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,OPHELIA,1,3.2,3,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,OSRIC,1,5.2,5,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,PLAYER KING,1,3.2,3,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,PLAYER QUEEN,1,3.2,3,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,PRINCE FORTINBRAS,1,5.2,5,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,PROLOGUE,1,3.2,3,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,QUEEN GERTRUDE,4,"1.2, 3.2, 5.1, 5.2","1, 3, 5","1, 2"
"The Tragedy of Hamlet, Prince of Denmark",ALL,ROSENCRANTZ,1,3.2,3,2
"The Tragedy of Hamlet, Prince of Denmark",ALL,SECOND CLOWN,1,5.1,5,1
"The Tragedy of Hamlet, Prince of Denmark",ALL,VOLTIMAND,1,1.2,1,2
"The Tragedy of Hamlet, Prince of Denmark",BERNARDO,CORNELIUS,1,1.2,1,2
"The Tragedy of Hamlet, Prince of Denmark",BERNARDO,FRANCISCO,1,1.1,1,1
