Play,Act,Scene,Speeches,Dialogue Lines,Unique Speakers
The Merchant of Venice,1,1,32,188,6
The Merchant of Venice,1,2,29,128,3
The Merchant of Venice,1,3,46,182,3
The Merchant of Venice,2,1,7,49,2
The Merchant of Venice,2,2,61,200,5
The Merchant of Venice,2,3,3,21,2
The Merchant of Venice,2,4,18,42,5
The Merchant of Venice,2,5,15,57,3
The Merchant of Venice,2,6,22,70,5
The Merchant of Venice,2,7,7,80,2
The Merchant of Venice,2,8,11,55,2
The Merchant of Venice,2,9,17,102,4
The Merchant of Venice,3,1,39,119,5
The Merchant of Venice,3,2,47,333,8
The Merchant of Venice,3,3,9,39,3
The Merchant of Venice,3,4,13,87,5
The Merchant of Venice,3,5,28,86,3
The Merchant of Venice,4,1,135,472,9
The Merchant of Venice,4,2,7,21,3
The Merchant of Venice,5,1,90,324,9
