Play,Act,Scene,Character,Line Number,Text
The Merchant of Venice,1,1,ANTONIO,1,"In sooth, I know not why I am so sad:"
The Merchant of Venice,1,1,ANTONIO,2,It wearies me; you say it wearies you;
The Merchant of Venice,1,1,ANTONIO,3,"But how I caught it, found it, or came by it,"
The Merchant of Venice,1,1,ANTONIO,4,"What stuff 'tis made of, whereof it is born,"
The Merchant of Venice,1,1,ANTONIO,5,I am to learn;
The Merchant of Venice,1,1,ANTONIO,6,"And such a want-wit sadness makes of me,"
The Merchant of Venice,1,1,ANTONIO,7,That I have much ado to know myself.
The Merchant of Venice,1,1,SALARINO,1,Your mind is tossing on the ocean;
The Merchant of Venice,1,1,SALARINO,2,"There, where your argosies with portly sail,"
The Merchant of Venice,1,1,SALARINO,3,"Like signiors and rich burghers on the flood,"
The Merchant of Venice,1,1,SALARINO,4,"Or, as it were, the pageants of the sea,"
The Merchant of Venice,1,1,SALARINO,5,"Do overpeer the petty traffickers,"
The Merchant of Venice,1,1,SALARINO,6,"That curtsy to them, do them reverence,"
The Merchant of Venice,1,1,SALARINO,7,As they fly by them with their woven wings.
The Merchant of Venice,1,1,SALANIO,1,"Believe me, sir, had I such venture forth,"
The Merchant of Venice,1,1,SALANIO,2,The better part of my affections would
The Merchant of Venice,1,1,SALANIO,3,Be with my hopes abroad. I should be still
The Merchant of Venice,1,1,SALANIO,4,"Plucking the grass, to know where sits the wind,"
The Merchant of Venice,1,1,SALANIO,5,Peering in maps for ports and piers and roads;
The Merchant of Venice,1,1,SALANIO,6,And every object that might make me fear
The Merchant of Venice,1,1,SALANIO,7,"Misfortune to my ventures, out of doubt"
The Merchant of Venice,1,1,SALANIO,8,Would make me sad.
The Merchant of Venice,1,1,SALARINO,1,My wind cooling my broth
The Merchant of Venice,1,1,SALARINO,2,"Would blow me to an ague, when I thought"
The Merchant of Venice,1,1,SALARINO,3,What harm a wind too great at sea might do.
The Merchant of Venice,1,1,SALARINO,4,"I should not see the sandy hour-glass run,"
The Merchant of Venice,1,1,SALARINO,5,"But I should think of shallows and of flats,"
The Merchant of Venice,1,1,SALARINO,6,"And see my wealthy Andrew dock'd in sand,"
The Merchant of Venice,1,1,SALARINO,7,Vailing her high-top lower than her ribs
The Merchant of Venice,1,1,SALARINO,8,To kiss her burial. Should I go to church
The Merchant of Venice,1,1,SALARINO,9,"And see the holy edifice of stone,"
The Merchant of Venice,1,1,SALARINO,10,"And not bethink me straight of dangerous rocks,"
The Merchant of Venice,1,1,SALARINO,11,"Which touching but my gentle vessel's side,"
The Merchant of Venice,1,1,SALARINO,12,"Would scatter all her spices on the stream,"
The Merchant of Venice,1,1,SALARINO,13,"Enrobe the roaring waters with my silks,"
The Merchant of Venice,1,1,SALARINO,14,"And, in a word, but even now worth this,"
