Play,Act,Scene,Speeches,Dialogue Lines,Unique Speakers
The Tragedy of Antony and Cleopatra,1,1,18,69,5
The Tragedy of Antony and Cleopatra,1,2,93,204,11
The Tragedy of Antony and Cleopatra,1,3,40,124,3
The Tragedy of Antony and Cleopatra,1,4,14,94,3
The Tragedy of Antony and Cleopatra,1,5,31,91,4
The Tragedy of Antony and Cleopatra,2,1,13,62,4
The Tragedy of Antony and Cleopatra,2,2,89,290,6
The Tragedy of Antony and Cleopatra,2,3,13,48,4
The Tragedy of Antony and Cleopatra,2,4,7,14,3
The Tragedy of Antony and Cleopatra,2,5,56,146,5
The Tragedy of Antony and Cleopatra,2,6,69,156,6
The Tragedy of Antony and Cleopatra,2,7,72,151,8
The Tragedy of Antony and Cleopatra,3,1,7,42,2
The Tragedy of Antony and Cleopatra,3,2,36,79,6
The Tragedy of Antony and Cleopatra,3,3,39,66,4
The Tragedy of Antony and Cleopatra,3,4,5,41,2
The Tragedy of Antony and Cleopatra,3,5,12,25,2
The Tragedy of Antony and Cleopatra,3,6,28,111,4
The Tragedy of Antony and Cleopatra,3,7,38,100,6
The Tragedy of Antony and Cleopatra,3,8,3,6,2
The Tragedy of Antony and Cleopatra,3,9,1,4,1
The Tragedy of Antony and Cleopatra,3,10,15,45,3
The Tragedy of Antony and Cleopatra,3,11,28,81,6
The Tragedy of Antony and Cleopatra,3,12,12,42,4
The Tragedy of Antony and Cleopatra,3,13,66,232,7
The Tragedy of Antony and Cleopatra,4,1,3,18,2
The Tragedy of Antony and Cleopatra,4,2,14,54,3
The Tragedy of Antony and Cleopatra,4,3,25,33,5
The Tragedy of Antony and Cleopatra,4,4,16,48,7
The Tragedy of Antony and Cleopatra,4,5,11,25,3
The Tragedy of Antony and Cleopatra,4,6,10,43,5
The Tragedy of Antony and Cleopatra,4,7,10,21,4
The Tragedy of Antony and Cleopatra,4,8,5,45,2
The Tragedy of Antony and Cleopatra,4,9,18,44,4
The Tragedy of Antony and Cleopatra,4,10,3,10,2
The Tragedy of Antony and Cleopatra,4,11,1,4,1
The Tragedy of Antony and Cleopatra,4,12,5,55,3
The Tragedy of Antony and Cleopatra,4,13,3,13,2
The Tragedy of Antony and Cleopatra,4,14,56,170,9
The Tragedy of Antony and Cleopatra,4,15,28,107,6
The Tragedy of Antony and Cleopatra,5,1,22,91,8
The Tragedy of Antony and Cleopatra,5,2,132,429,12
