Play,Act,Scene,Character,Line Number,Text
The Tragedy of Antony and Cleopatra,1,1,PHILO,1,"Nay, but this dotage of our general's"
The Tragedy of Antony and Cleopatra,1,1,PHILO,2,"O'erflows the measure: those his goodly eyes,"
The Tragedy of Antony and Cleopatra,1,1,PHILO,3,That o'er the files and musters of the war
The Tragedy of Antony and Cleopatra,1,1,PHILO,4,"Have glow'd like plated Mars, now bend, now turn,"
The Tragedy of Antony and Cleopatra,1,1,PHILO,5,The office and devotion of their view
The Tragedy of Antony and Cleopatra,1,1,PHILO,6,"Upon a tawny front: his captain's heart,"
The Tragedy of Antony and Cleopatra,1,1,PHILO,7,Which in the scuffles of great fights hath burst
The Tragedy of Antony and Cleopatra,1,1,PHILO,8,"The buckles on his breast, reneges all temper,"
The Tragedy of Antony and Cleopatra,1,1,PHILO,9,And is become the bellows and the fan
The Tragedy of Antony and Cleopatra,1,1,PHILO,10,To cool a gipsy's lust.
The Tragedy of Antony and Cleopatra,1,1,PHILO,11,"Look, where they come:"
The Tragedy of Antony and Cleopatra,1,1,PHILO,12,"Take but good note, and you shall see in him."
The Tragedy of Antony and Cleopatra,1,1,PHILO,13,The triple pillar of the world transform'd
The Tragedy of Antony and Cleopatra,1,1,PHILO,14,Into a strumpet's fool: behold and see.
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,1,"If it be love indeed, tell me how much."
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,1,There's beggary in the love that can be reckon'd.
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,1,I'll set a bourn how far to be beloved.
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,1,"Then must thou needs find out new heaven, new earth."
The Tragedy of Antony and Cleopatra,1,1,ATTENDANT,1,"News, my good lord, from Rome."
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,1,Grates me: the sum.
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,1,"Nay, hear them, Antony:"
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,2,"Fulvia perchance is angry; or, who knows"
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,3,If the scarce-bearded Caesar have not sent
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,4,"His powerful mandate to you, 'Do this, or this;"
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,5,"Take in that kingdom, and enfranchise that;"
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,6,"Perform 't, or else we damn thee.'"
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,1,"How, my love!"
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,1,"Perchance! nay, and most like:"
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,2,"You must not stay here longer, your dismission"
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,3,"Is come from Caesar; therefore hear it, Antony."
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,4,Where's Fulvia's process? Caesar's I would say? both?
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,5,"Call in the messengers. As I am Egypt's queen,"
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,6,"Thou blushest, Antony; and that blood of thine"
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,7,Is Caesar's homager: else so thy cheek pays shame
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,8,When shrill-tongued Fulvia scolds. The messengers!
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,1,"Let Rome in Tiber melt, and the wide arch"
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,2,Of the ranged empire fall! Here is my space.
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,3,Kingdoms are clay: our dungy earth alike
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,4,Feeds beast as man: the nobleness of life
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,5,Is to do thus; when such a mutual pair
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,6,"And such a twain can do't, in which I bind,"
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,7,"On pain of punishment, the world to weet"
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,8,We stand up peerless.
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,1,Excellent falsehood!
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,2,"Why did he marry Fulvia, and not love her?"
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,3,I'll seem the fool I am not; Antony
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,4,Will be himself.
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,1,But stirr'd by Cleopatra.
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,2,"Now, for the love of Love and her soft hours,"
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,3,Let's not confound the time with conference harsh:
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,4,There's not a minute of our lives should stretch
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,5,Without some pleasure now. What sport tonight?
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,1,Hear the ambassadors.
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,1,"Fie, wrangling queen!"
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,2,"Whom every thing becomes, to chide, to laugh,"
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,3,To weep; whose every passion fully strives
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,4,"To make itself, in thee, fair and admired!"
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,5,"No messenger, but thine; and all alone"
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,6,To-night we'll wander through the streets and note
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,7,"The qualities of people. Come, my queen;"
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,8,Last night you did desire it: speak not to us.
The Tragedy of Antony and Cleopatra,1,1,DEMETRIUS,1,Is Caesar with Antonius prized so slight?
