Play,Character A,Character B,Scenes Together,Scenes List,Acts Together,Scenes Together (IDs)
The Tragedy of Antony and Cleopatra,AGRIPPA,ALL,1,5.1,5,1
The Tragedy of Antony and Cleopatra,AGRIPPA,DERCETAS,1,5.1,5,1
The Tragedy of Antony and Cleopatra,AGRIPPA,DOLABELLA,1,5.1,5,1
The Tragedy of Antony and Cleopatra,AGRIPPA,DOMITIUS ENOBARBUS,3,"2.2, 3.2, 4.6","2, 3, 4","2, 6"
The Tragedy of Antony and Cleopatra,AGRIPPA,EGYPTIAN,1,5.1,5,1
The Tragedy of Antony and Cleopatra,AGRIPPA,EROS,1,4.7,4,7
The Tragedy of Antony and Cleopatra,AGRIPPA,LEPIDUS,3,"2.2, 2.4, 3.2","2, 3","2, 4"
The Tragedy of Antony and Cleopatra,AGRIPPA,MARK ANTONY,3,"2.2, 3.2, 4.7","2, 3, 4","2, 7"
The Tragedy of Antony and Cleopatra,AGRIPPA,MECAENAS,4,"2.2, 2.4, 3.6, 5.1","2, 3, 5","1, 2, 4, 6"
The Tragedy of Antony and Cleopatra,AGRIPPA,MESSENGER,1,4.6,4,6
The Tragedy of Antony and Cleopatra,AGRIPPA,OCTAVIA,2,"3.2, 3.6",3,"2, 6"
The Tragedy of Antony and Cleopatra,AGRIPPA,OCTAVIUS CAESAR,5,"2.2, 3.2, 3.6, 4.6, 5.1","2, 3, 4, 5","1, 2, 6"
The Tragedy of Antony and Cleopatra,AGRIPPA,PROCULEIUS,1,5.1,5,1
The Tragedy of Antony and Cleopatra,AGRIPPA,SCARUS,1,4.7,4,7
The Tragedy of Antony and Cleopatra,AGRIPPA,SOLDIER,1,4.6,4,6
The Tragedy of Antony and Cleopatra,ALEXAS,CHARMIAN,3,"1.2, 1.5, 3.3","1, 3","2, 3, 5"
The Tragedy of Antony and Cleopatra,ALEXAS,CLEOPATRA,3,"1.2, 1.5, 3.3","1, 3","2, 3, 5"
The Tragedy of Antony and Cleopatra,ALEXAS,DOMITIUS ENOBARBUS,1,1.2,1,2
The Tragedy of Antony and Cleopatra,ALEXAS,FIRST ATTENDANT,1,1.2,1,2
The Tragedy of Antony and Cleopatra,ALEXAS,IRAS,1,1.2,1,2
The Tragedy of Antony and Cleopatra,ALEXAS,MARDIAN,1,1.5,1,5
The Tragedy of Antony and Cleopatra,ALEXAS,MARK ANTONY,1,1.2,1,2
The Tragedy of Antony and Cleopatra,ALEXAS,MESSENGER,2,"1.2, 3.3","1, 3","2, 3"
The Tragedy of Antony and Cleopatra,ALEXAS,SECOND ATTENDANT,1,1.2,1,2
The Tragedy of Antony and Cleopatra,ALEXAS,SECOND MESSENGER,1,1.2,1,2
The Tragedy of Antony and Cleopatra,ALEXAS,SOOTHSAYER,1,1.2,1,2
The Tragedy of Antony and Cleopatra,ALL,CAPTAIN,1,4.4,4,4
The Tragedy of Antony and Cleopatra,ALL,CHARMIAN,3,"3.11, 4.15, 4.4","3, 4","4, 11, 15"
The Tragedy of Antony and Cleopatra,ALL,CLEOPATRA,4,"3.11, 4.15, 4.2, 4.4","3, 4","2, 4, 11, 15"
The Tragedy of Antony and Cleopatra,ALL,DERCETAS,2,"4.14, 5.1","4, 5","1, 14"
The Tragedy of Antony and Cleopatra,ALL,DIOMEDES,2,"4.14, 4.15",4,"14, 15"
The Tragedy of Antony and Cleopatra,ALL,DOLABELLA,1,5.1,5,1
The Tragedy of Antony and Cleopatra,ALL,DOMITIUS ENOBARBUS,1,4.2,4,2
The Tragedy of Antony and Cleopatra,ALL,EGYPTIAN,1,5.1,5,1
The Tragedy of Antony and Cleopatra,ALL,EROS,3,"3.11, 4.14, 4.4","3, 4","4, 11, 14"
The Tragedy of Antony and Cleopatra,ALL,FIRST GUARD,1,4.14,4,14
The Tragedy of Antony and Cleopatra,ALL,FIRST SOLDIER,1,4.3,4,3
