Play,Act,Scene,Character,Line Count,Text
The Tragedy of Antony and Cleopatra,1,1,PHILO,104,"Nay, but this dotage of our general's O'erflows the measure: those his goodly eyes, That o'er the files and musters of the war Have glow'd like plated Mars, now bend, now turn, The office and devotion of their view Upon a tawny front: his captain's heart, Which in the scuffles of great fights hath burst The buckles on his breast, reneges all temper, And is become the bellows and the fan To cool a gipsy's lust. Look, where they come: Take but good note, and you shall see in him. The triple pillar of the world transform'd Into a strumpet's fool: behold and see."
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,9,"If it be love indeed, tell me how much."
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,9,There's beggary in the love that can be reckon'd.
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,9,I'll set a bourn how far to be beloved.
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,10,"Then must thou needs find out new heaven, new earth."
The Tragedy of Antony and Cleopatra,1,1,ATTENDANT,6,"News, my good lord, from Rome."
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,4,Grates me: the sum.
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,41,"Nay, hear them, Antony: Fulvia perchance is angry; or, who knows If the scarce-bearded Caesar have not sent His powerful mandate to you, 'Do this, or this; Take in that kingdom, and enfranchise that; Perform 't, or else we damn thee.'"
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,3,"How, my love!"
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,61,"Perchance! nay, and most like: You must not stay here longer, your dismission Is come from Caesar; therefore hear it, Antony. Where's Fulvia's process? Caesar's I would say? both? Call in the messengers. As I am Egypt's queen, Thou blushest, Antony; and that blood of thine Is Caesar's homager: else so thy cheek pays shame When shrill-tongued Fulvia scolds. The messengers!"
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,64,"Let Rome in Tiber melt, and the wide arch Of the ranged empire fall! Here is my space. Kingdoms are clay: our dungy earth alike Feeds beast as man: the nobleness of life Is to do thus; when such a mutual pair And such a twain can do't, in which I bind, On pain of punishment, the world to weet We stand up peerless."
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,22,"Excellent falsehood! Why did he marry Fulvia, and not love her? I'll seem the fool I am not; Antony Will be himself."
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,38,"But stirr'd by Cleopatra. Now, for the love of Love and her soft hours, Let's not confound the time with conference harsh: There's not a minute of our lives should stretch Without some pleasure now. What sport tonight?"
The Tragedy of Antony and Cleopatra,1,1,CLEOPATRA,3,Hear the ambassadors.
The Tragedy of Antony and Cleopatra,1,1,MARK ANTONY,58,"Fie, wrangling queen! Whom every thing becomes, to chide, to laugh, To weep; whose every passion fully strives To make itself, in thee, fair and admired! No messenger, but thine; and all alone To-night we'll wander through the streets and note The qualities of people. Come, my queen; Last night you did desire it: speak not to us."
The Tragedy of Antony and Cleopatra,1,1,DEMETRIUS,7,Is Caesar with Antonius prized so slight?
The Tragedy of Antony and Cleopatra,1,1,PHILO,21,"Sir, sometimes, when he is not Antony, He comes too short of that great property Which still should go with Antony."
The Tragedy of Antony and Cleopatra,1,1,DEMETRIUS,28,"I am full sorry That he approves the common liar, who Thus speaks of him at Rome: but I will hope Of better deeds to-morrow. Rest you happy!"
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,37,"Lord Alexas, sweet Alexas, most any thing Alexas, almost most absolute Alexas, where's the soothsayer that you praised so to the queen? O, that I knew this husband, which, you say, must charge his horns with garlands!"
The Tragedy of Antony and Cleopatra,1,2,ALEXAS,1,Soothsayer!
The Tragedy of Antony and Cleopatra,1,2,SOOTHSAYER,2,Your will?
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,10,"Is this the man? Is't you, sir, that know things?"
The Tragedy of Antony and Cleopatra,1,2,SOOTHSAYER,11,In nature's infinite book of secrecy A little I can read.
The Tragedy of Antony and Cleopatra,1,2,ALEXAS,4,Show him your hand.
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,11,Bring in the banquet quickly; wine enough Cleopatra's health to drink.
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,6,"Good sir, give me good fortune."
The Tragedy of Antony and Cleopatra,1,2,SOOTHSAYER,5,"I make not, but foresee."
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,5,"Pray, then, foresee me one."
The Tragedy of Antony and Cleopatra,1,2,SOOTHSAYER,9,You shall be yet far fairer than you are.
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,4,He means in flesh.
The Tragedy of Antony and Cleopatra,1,2,IRAS,8,"No, you shall paint when you are old."
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,2,Wrinkles forbid!
The Tragedy of Antony and Cleopatra,1,2,ALEXAS,6,Vex not his prescience; be attentive.
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,1,Hush!
The Tragedy of Antony and Cleopatra,1,2,SOOTHSAYER,7,You shall be more beloving than beloved.
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,8,I had rather heat my liver with drinking.
The Tragedy of Antony and Cleopatra,1,2,ALEXAS,3,"Nay, hear him."
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,48,"Good now, some excellent fortune! Let me be married to three kings in a forenoon, and widow them all: let me have a child at fifty, to whom Herod of Jewry may do homage: find me to marry me with Octavius Caesar, and companion me with my mistress."
The Tragedy of Antony and Cleopatra,1,2,SOOTHSAYER,8,You shall outlive the lady whom you serve.
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,9,O excellent! I love long life better than figs.
The Tragedy of Antony and Cleopatra,1,2,SOOTHSAYER,15,You have seen and proved a fairer former fortune Than that which is to approach.
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,17,"Then belike my children shall have no names: prithee, how many boys and wenches must I have?"
The Tragedy of Antony and Cleopatra,1,2,SOOTHSAYER,14,"If every of your wishes had a womb. And fertile every wish, a million."
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,8,"Out, fool! I forgive thee for a witch."
The Tragedy of Antony and Cleopatra,1,2,ALEXAS,11,You think none but your sheets are privy to your wishes.
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,5,"Nay, come, tell Iras hers."
The Tragedy of Antony and Cleopatra,1,2,ALEXAS,5,We'll know all our fortunes.
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,11,"Mine, and most of our fortunes, to-night, shall be--drunk to bed."
