Play,Act,Scene,Speeches,Dialogue Lines,Unique Speakers
"The Tragedy of Hamlet, Prince of Denmark",1,1,60,189,4
"The Tragedy of Hamlet, Prince of Denmark",1,2,74,273,11
"The Tragedy of Hamlet, Prince of Denmark",1,3,25,140,3
"The Tragedy of Hamlet, Prince of Denmark",1,4,29,101,3
"The Tragedy of Hamlet, Prince of Denmark",1,5,54,201,4
"The Tragedy of Hamlet, Prince of Denmark",2,1,37,131,3
"The Tragedy of Hamlet, Prince of Denmark",2,2,161,609,8
"The Tragedy of Hamlet, Prince of Denmark",3,1,45,201,7
"The Tragedy of Hamlet, Prince of Denmark",3,2,138,388,14
"The Tragedy of Hamlet, Prince of Denmark",3,3,9,100,5
"The Tragedy of Hamlet, Prince of Denmark",3,4,52,231,4
"The Tragedy of Hamlet, Prince of Denmark",4,1,7,46,2
"The Tragedy of Hamlet, Prince of Denmark",4,2,16,29,3
"The Tragedy of Hamlet, Prince of Denmark",4,3,27,73,3
"The Tragedy of Hamlet, Prince of Denmark",4,4,17,68,4
"The Tragedy of Hamlet, Prince of Denmark",4,5,63,229,7
"The Tragedy of Hamlet, Prince of Denmark",4,6,7,32,3
"The Tragedy of Hamlet, Prince of Denmark",4,7,40,211,4
"The Tragedy of Hamlet, Prince of Denmark",5,1,110,304,9
"The Tragedy of Hamlet, Prince of Denmark",5,2,145,422,10
