Play,Act,Scene,Character,Line Number,Text
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,Who's there?
"The Tragedy of Hamlet, Prince of Denmark",1,1,FRANCISCO,1,"Nay, answer me: stand, and unfold yourself."
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,Long live the king!
"The Tragedy of Hamlet, Prince of Denmark",1,1,FRANCISCO,1,Bernardo?
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,He.
"The Tragedy of Hamlet, Prince of Denmark",1,1,FRANCISCO,1,You come most carefully upon your hour.
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,"'Tis now struck twelve; get thee to bed, Francisco."
"The Tragedy of Hamlet, Prince of Denmark",1,1,FRANCISCO,1,"For this relief much thanks: 'tis bitter cold,"
"The Tragedy of Hamlet, Prince of Denmark",1,1,FRANCISCO,2,And I am sick at heart.
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,Have you had quiet guard?
"The Tragedy of Hamlet, Prince of Denmark",1,1,FRANCISCO,1,Not a mouse stirring.
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,"Well, good night."
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,2,"If you do meet Horatio and Marcellus,"
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,3,"The rivals of my watch, bid them make haste."
"The Tragedy of Hamlet, Prince of Denmark",1,1,FRANCISCO,1,"I think I hear them. Stand, ho! Who's there?"
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,1,Friends to this ground.
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,1,And liegemen to the Dane.
"The Tragedy of Hamlet, Prince of Denmark",1,1,FRANCISCO,1,Give you good night.
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,1,"O, farewell, honest soldier:"
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,2,Who hath relieved you?
"The Tragedy of Hamlet, Prince of Denmark",1,1,FRANCISCO,1,Bernardo has my place.
"The Tragedy of Hamlet, Prince of Denmark",1,1,FRANCISCO,2,Give you good night.
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,1,Holla! Bernardo!
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,"Say,"
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,2,"What, is Horatio there?"
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,1,A piece of him.
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,"Welcome, Horatio: welcome, good Marcellus."
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,1,"What, has this thing appear'd again to-night?"
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,I have seen nothing.
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,1,"Horatio says 'tis but our fantasy,"
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,2,And will not let belief take hold of him
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,3,"Touching this dreaded sight, twice seen of us:"
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,4,Therefore I have entreated him along
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,5,With us to watch the minutes of this night;
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,6,"That if again this apparition come,"
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,7,He may approve our eyes and speak to it.
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,1,"Tush, tush, 'twill not appear."
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,Sit down awhile;
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,2,"And let us once again assail your ears,"
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,3,That are so fortified against our story
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,4,What we have two nights seen.
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,1,"Well, sit we down,"
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,2,And let us hear Bernardo speak of this.
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,"Last night of all,"
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,2,When yond same star that's westward from the pole
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,3,Had made his course to illume that part of heaven
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,4,"Where now it burns, Marcellus and myself,"
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,5,"The bell then beating one,--"
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,1,"Peace, break thee off; look, where it comes again!"
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,"In the same figure, like the king that's dead."
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,1,"Thou art a scholar; speak to it, Horatio."
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,"Looks it not like the king?  mark it, Horatio."
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,1,Most like: it harrows me with fear and wonder.
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,It would be spoke to.
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,1,"Question it, Horatio."
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,1,"What art thou that usurp'st this time of night,"
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,2,Together with that fair and warlike form
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,3,In which the majesty of buried Denmark
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,4,"Did sometimes march? by heaven I charge thee, speak!"
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,1,It is offended.
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,"See, it stalks away!"
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,1,"Stay! speak, speak! I charge thee, speak!"
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,1,"'Tis gone, and will not answer."
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,1,"How now, Horatio! you tremble and look pale:"
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,2,Is not this something more than fantasy?
"The Tragedy of Hamlet, Prince of Denmark",1,1,BERNARDO,3,What think you on't?
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,1,"Before my God, I might not this believe"
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,2,Without the sensible and true avouch
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,3,Of mine own eyes.
"The Tragedy of Hamlet, Prince of Denmark",1,1,MARCELLUS,1,Is it not like the king?
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,1,As thou art to thyself:
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,2,Such was the very armour he had on
"The Tragedy of Hamlet, Prince of Denmark",1,1,HORATIO,3,When he the ambitious Norway combated;
