Play,Act,Scene,Speeches,Dialogue Lines,Unique Speakers
The Tragedy of Julius Caesar,1,1,18,74,4
The Tragedy of Julius Caesar,1,2,87,329,7
The Tragedy of Julius Caesar,1,3,37,171,4
The Tragedy of Julius Caesar,2,1,84,350,10
The Tragedy of Julius Caesar,2,2,33,136,8
The Tragedy of Julius Caesar,2,3,1,15,1
The Tragedy of Julius Caesar,2,4,19,50,3
The Tragedy of Julius Caesar,3,1,88,316,14
The Tragedy of Julius Caesar,3,2,92,281,10
The Tragedy of Julius Caesar,3,3,25,35,5
The Tragedy of Julius Caesar,4,1,14,54,3
The Tragedy of Julius Caesar,4,2,22,57,7
The Tragedy of Julius Caesar,4,3,147,344,9
The Tragedy of Julius Caesar,5,1,41,133,6
The Tragedy of Julius Caesar,5,2,1,6,1
The Tragedy of Julius Caesar,5,3,31,116,6
The Tragedy of Julius Caesar,5,4,12,33,6
The Tragedy of Julius Caesar,5,5,37,87,9
