Play,Act,Scene,Character,Line Number,Text
The Tragedy of Julius Caesar,1,1,FLAVIUS,1,"Hence! home, you idle creatures get you home:"
The Tragedy of Julius Caesar,1,1,FLAVIUS,2,"Is this a holiday? what! know you not,"
The Tragedy of Julius Caesar,1,1,FLAVIUS,3,"Being mechanical, you ought not walk"
The Tragedy of Julius Caesar,1,1,FLAVIUS,4,Upon a labouring day without the sign
The Tragedy of Julius Caesar,1,1,FLAVIUS,5,"Of your profession? Speak, what trade art thou?"
The Tragedy of Julius Caesar,1,1,FIRST COMMONER,1,"Why, sir, a carpenter."
The Tragedy of Julius Caesar,1,1,MARULLUS,1,Where is thy leather apron and thy rule?
The Tragedy of Julius Caesar,1,1,MARULLUS,2,What dost thou with thy best apparel on?
The Tragedy of Julius Caesar,1,1,MARULLUS,3,"You, sir, what trade are you?"
The Tragedy of Julius Caesar,1,1,SECOND COMMONER,1,"Truly, sir, in respect of a fine workman, I am but,"
The Tragedy of Julius Caesar,1,1,SECOND COMMONER,2,"as you would say, a cobbler."
The Tragedy of Julius Caesar,1,1,MARULLUS,1,But what trade art thou? answer me directly.
The Tragedy of Julius Caesar,1,1,SECOND COMMONER,1,"A trade, sir, that, I hope, I may use with a safe"
The Tragedy of Julius Caesar,1,1,SECOND COMMONER,2,"conscience; which is, indeed, sir, a mender of bad soles."
The Tragedy of Julius Caesar,1,1,MARULLUS,1,"What trade, thou knave? thou naughty knave, what trade?"
The Tragedy of Julius Caesar,1,1,SECOND COMMONER,1,"Nay, I beseech you, sir, be not out with me: yet,"
The Tragedy of Julius Caesar,1,1,SECOND COMMONER,2,"if you be out, sir, I can mend you."
The Tragedy of Julius Caesar,1,1,MARULLUS,1,"What meanest thou by that? mend me, thou saucy fellow!"
The Tragedy of Julius Caesar,1,1,SECOND COMMONER,1,"Why, sir, cobble you."
The Tragedy of Julius Caesar,1,1,FLAVIUS,1,"Thou art a cobbler, art thou?"
The Tragedy of Julius Caesar,1,1,SECOND COMMONER,1,"Truly, sir, all that I live by is with the awl: I"
The Tragedy of Julius Caesar,1,1,SECOND COMMONER,2,"meddle with no tradesman's matters, nor women's"
The Tragedy of Julius Caesar,1,1,SECOND COMMONER,3,"matters, but with awl. I am, indeed, sir, a surgeon"
The Tragedy of Julius Caesar,1,1,SECOND COMMONER,4,"to old shoes; when they are in great danger, I"
The Tragedy of Julius Caesar,1,1,SECOND COMMONER,5,recover them. As proper men as ever trod upon
The Tragedy of Julius Caesar,1,1,SECOND COMMONER,6,neat's leather have gone upon my handiwork.
