Play,Character A,Character B,Scenes Together,Scenes List,Acts Together,Scenes Together (IDs)
The Tragedy of Julius Caesar,ALL,ANTONY,1,3.2,3,2
The Tragedy of Julius Caesar,ALL,BRUTUS,1,3.2,3,2
The Tragedy of Julius Caesar,ALL,CITIZENS,1,3.2,3,2
The Tragedy of Julius Caesar,ALL,FIRST CITIZEN,1,3.2,3,2
The Tragedy of Julius Caesar,ALL,FOURTH CITIZEN,1,3.2,3,2
The Tragedy of Julius Caesar,ALL,SECOND CITIZEN,1,3.2,3,2
The Tragedy of Julius Caesar,ALL,SERVANT,1,3.2,3,2
The Tragedy of Julius Caesar,ALL,SEVERAL CITIZENS,1,3.2,3,2
The Tragedy of Julius Caesar,ALL,THIRD CITIZEN,1,3.2,3,2
The Tragedy of Julius Caesar,ANTONY,ARTEMIDORUS,1,3.1,3,1
The Tragedy of Julius Caesar,ANTONY,BRUTUS,7,"1.2, 2.2, 3.1, 3.2, 5.1, 5.4, 5.5","1, 2, 3, 5","1, 2, 4, 5"
The Tragedy of Julius Caesar,ANTONY,CAESAR,3,"1.2, 2.2, 3.1","1, 2, 3","1, 2"
The Tragedy of Julius Caesar,ANTONY,CALPURNIA,2,"1.2, 2.2","1, 2",2
The Tragedy of Julius Caesar,ANTONY,CASCA,2,"1.2, 3.1","1, 3","1, 2"
The Tragedy of Julius Caesar,ANTONY,CASSIUS,3,"1.2, 3.1, 5.1","1, 3, 5","1, 2"
The Tragedy of Julius Caesar,ANTONY,CATO,1,5.4,5,4
The Tragedy of Julius Caesar,ANTONY,CINNA,1,3.1,3,1
The Tragedy of Julius Caesar,ANTONY,CITIZENS,1,3.2,3,2
The Tragedy of Julius Caesar,ANTONY,CLITUS,1,5.5,5,5
The Tragedy of Julius Caesar,ANTONY,DARDANIUS,1,5.5,5,5
The Tragedy of Julius Caesar,ANTONY,DECIUS BRUTUS,2,"2.2, 3.1","2, 3","1, 2"
The Tragedy of Julius Caesar,ANTONY,FIRST CITIZEN,1,3.2,3,2
The Tragedy of Julius Caesar,ANTONY,FIRST SOLDIER,1,5.4,5,4
The Tragedy of Julius Caesar,ANTONY,FOURTH CITIZEN,1,3.2,3,2
The Tragedy of Julius Caesar,ANTONY,LEPIDUS,1,4.1,4,1
The Tragedy of Julius Caesar,ANTONY,LUCILIUS,3,"5.1, 5.4, 5.5",5,"1, 4, 5"
The Tragedy of Julius Caesar,ANTONY,MESSALA,2,"5.1, 5.5",5,"1, 5"
The Tragedy of Julius Caesar,ANTONY,MESSENGER,1,5.1,5,1
The Tragedy of Julius Caesar,ANTONY,METELLUS CIMBER,1,3.1,3,1
The Tragedy of Julius Caesar,ANTONY,OCTAVIUS,3,"4.1, 5.1, 5.5","4, 5","1, 5"
The Tragedy of Julius Caesar,ANTONY,POPILIUS,1,3.1,3,1
The Tragedy of Julius Caesar,ANTONY,PUBLIUS,2,"2.2, 3.1","2, 3","1, 2"
The Tragedy of Julius Caesar,ANTONY,SECOND CITIZEN,1,3.2,3,2
The Tragedy of Julius Caesar,ANTONY,SECOND SOLDIER,1,5.4,5,4
The Tragedy of Julius Caesar,ANTONY,SERVANT,3,"2.2, 3.1, 3.2","2, 3","1, 2"
The Tragedy of Julius Caesar,ANTONY,SEVERAL CITIZENS,1,3.2,3,2
The Tragedy of Julius Caesar,ANTONY,SOOTHSAYER,2,"1.2, 3.1","1, 3","1, 2"
The Tragedy of Julius Caesar,ANTONY,STRATO,1,5.5,5,5
The Tragedy of Julius Caesar,ANTONY,THIRD CITIZEN,1,3.2,3,2
The Tragedy of Julius Caesar,ANTONY,TREBONIUS,2,"2.2, 3.1","2, 3","1, 2"
The Tragedy of Julius Caesar,ANTONY,VOLUMNIUS,1,5.5,5,5
The Tragedy of Julius Caesar,ARTEMIDORUS,BRUTUS,1,3.1,3,1
The Tragedy of Julius Caesar,ARTEMIDORUS,CAESAR,1,3.1,3,1
The Tragedy of Julius Caesar,ARTEMIDORUS,CASCA,1,3.1,3,1
The Tragedy of Julius Caesar,ARTEMIDORUS,CASSIUS,1,3.1,3,1
The Tragedy of Julius Caesar,ARTEMIDORUS,CINNA,1,3.1,3,1
The Tragedy of Julius Caesar,ARTEMIDORUS,DECIUS BRUTUS,1,3.1,3,1
The Tragedy of Julius Caesar,ARTEMIDORUS,METELLUS CIMBER,1,3.1,3,1
The Tragedy of Julius Caesar,ARTEMIDORUS,POPILIUS,1,3.1,3,1
The Tragedy of Julius Caesar,ARTEMIDORUS,PUBLIUS,1,3.1,3,1
The Tragedy of Julius Caesar,ARTEMIDORUS,SERVANT,1,3.1,3,1
The Tragedy of Julius Caesar,ARTEMIDORUS,SOOTHSAYER,1,3.1,3,1
The Tragedy of Julius Caesar,ARTEMIDORUS,TREBONIUS,1,3.1,3,1
The Tragedy of Julius Caesar,BRUTUS,CAESAR,3,"1.2, 2.2, 3.1","1, 2, 3","1, 2"
The Tragedy of Julius Caesar,BRUTUS,CALPURNIA,2,"1.2, 2.2","1, 2",2
The Tragedy of Julius Caesar,BRUTUS,CASCA,3,"1.2, 2.1, 3.1","1, 2, 3","1, 2"
The Tragedy of Julius Caesar,BRUTUS,CASSIUS,7,"1.2, 2.1, 3.1, 4.2, 4.3, 5.1, 5.3","1, 2, 3, 4, 5","1, 2, 3"
The Tragedy of Julius Caesar,BRUTUS,CATO,2,"5.3, 5.4",5,"3, 4"
The Tragedy of Julius Caesar,BRUTUS,CINNA,2,"2.1, 3.1","2, 3",1
The Tragedy of Julius Caesar,BRUTUS,CITIZENS,1,3.2,3,2
The Tragedy of Julius Caesar,BRUTUS,CLAUDIUS,1,4.3,4,3
The Tragedy of Julius Caesar,BRUTUS,CLITUS,1,5.5,5,5
The Tragedy of Julius Caesar,BRUTUS,DARDANIUS,1,5.5,5,5
The Tragedy of Julius Caesar,BRUTUS,DECIUS BRUTUS,3,"2.1, 2.2, 3.1","2, 3","1, 2"
The Tragedy of Julius Caesar,BRUTUS,FIRST CITIZEN,1,3.2,3,2
The Tragedy of Julius Caesar,BRUTUS,FIRST SOLDIER,2,"4.2, 5.4","4, 5","2, 4"
The Tragedy of Julius Caesar,BRUTUS,FOURTH CITIZEN,1,3.2,3,2
The Tragedy of Julius Caesar,BRUTUS,GHOST,1,4.3,4,3
The Tragedy of Julius Caesar,BRUTUS,LIGARIUS,1,2.1,2,1
The Tragedy of Julius Caesar,BRUTUS,LUCILIUS,5,"4.2, 4.3, 5.1, 5.4, 5.5","4, 5","1, 2, 3, 4, 5"
The Tragedy of Julius Caesar,BRUTUS,LUCIUS,2,"2.1, 4.3","2, 4","1, 3"
The Tragedy of Julius Caesar,BRUTUS,MESSALA,4,"4.3, 5.1, 5.3, 5.5","4, 5","1, 3, 5"
The Tragedy of Julius Caesar,BRUTUS,MESSENGER,1,5.1,5,1
The Tragedy of Julius Caesar,BRUTUS,METELLUS CIMBER,2,"2.1, 3.1","2, 3",1
The Tragedy of Julius Caesar,BRUTUS,OCTAVIUS,2,"5.1, 5.5",5,"1, 5"
The Tragedy of Julius Caesar,BRUTUS,PINDARUS,2,"4.2, 5.3","4, 5","2, 3"
The Tragedy of Julius Caesar,BRUTUS,POET,1,4.3,4,3
The Tragedy of Julius Caesar,BRUTUS,POPILIUS,1,3.1,3,1
The Tragedy of Julius Caesar,BRUTUS,PORTIA,1,2.1,2,1
The Tragedy of Julius Caesar,BRUTUS,PUBLIUS,2,"2.2, 3.1","2, 3","1, 2"
The Tragedy of Julius Caesar,BRUTUS,SECOND CITIZEN,1,3.2,3,2
The Tragedy of Julius Caesar,BRUTUS,SECOND SOLDIER,2,"4.2, 5.4","4, 5","2, 4"
