Play,Act,Scene,Speeches,Dialogue Lines,Unique Speakers
The Tragedy of Macbeth,1,1,10,13,4
The Tragedy of Macbeth,1,2,18,76,5
The Tragedy of Macbeth,1,3,51,165,8
The Tragedy of Macbeth,1,4,11,64,4
The Tragedy of Macbeth,1,5,11,82,3
The Tragedy of Macbeth,1,6,7,37,3
The Tragedy of Macbeth,1,7,13,92,2
The Tragedy of Macbeth,2,1,16,72,3
The Tragedy of Macbeth,2,2,27,90,2
The Tragedy of Macbeth,2,3,54,178,9
The Tragedy of Macbeth,2,4,21,51,3
The Tragedy of Macbeth,3,1,32,156,7
The Tragedy of Macbeth,3,2,14,62,3
The Tragedy of Macbeth,3,3,19,31,4
The Tragedy of Macbeth,3,4,53,168,6
The Tragedy of Macbeth,3,5,3,36,2
The Tragedy of Macbeth,3,6,6,55,2
The Tragedy of Macbeth,4,1,53,173,10
The Tragedy of Macbeth,4,2,41,94,5
The Tragedy of Macbeth,4,3,65,281,4
The Tragedy of Macbeth,5,1,32,74,3
The Tragedy of Macbeth,5,2,10,37,4
The Tragedy of Macbeth,5,3,20,70,4
The Tragedy of Macbeth,5,4,10,27,5
The Tragedy of Macbeth,5,5,11,57,3
The Tragedy of Macbeth,5,6,3,11,3
The Tragedy of Macbeth,5,7,13,35,5
The Tragedy of Macbeth,5,8,23,86,6
