Play,Act,Scene,Character,Line Number,Text
The Tragedy of Macbeth,1,1,FIRST WITCH,1,When shall we three meet again
The Tragedy of Macbeth,1,1,FIRST WITCH,2,"In thunder, lightning, or in rain?"
The Tragedy of Macbeth,1,1,SECOND WITCH,1,"When the hurlyburly's done,"
The Tragedy of Macbeth,1,1,SECOND WITCH,2,When the battle's lost and won.
The Tragedy of Macbeth,1,1,THIRD WITCH,1,That will be ere the set of sun.
The Tragedy of Macbeth,1,1,FIRST WITCH,1,Where the place?
The Tragedy of Macbeth,1,1,SECOND WITCH,1,Upon the heath.
The Tragedy of Macbeth,1,1,THIRD WITCH,1,There to meet with Macbeth.
The Tragedy of Macbeth,1,1,FIRST WITCH,1,"I come, Graymalkin!"
The Tragedy of Macbeth,1,1,SECOND WITCH,1,Paddock calls.
The Tragedy of Macbeth,1,1,THIRD WITCH,1,Anon.
The Tragedy of Macbeth,1,1,ALL,1,"Fair is foul, and foul is fair:"
The Tragedy of Macbeth,1,1,ALL,2,Hover through the fog and filthy air.
The Tragedy of Macbeth,1,2,DUNCAN,1,"What bloody man is that? He can report,"
The Tragedy of Macbeth,1,2,DUNCAN,2,"As seemeth by his plight, of the revolt"
The Tragedy of Macbeth,1,2,DUNCAN,3,The newest state.
The Tragedy of Macbeth,1,2,MALCOLM,1,This is the sergeant
The Tragedy of Macbeth,1,2,MALCOLM,2,Who like a good and hardy soldier fought
The Tragedy of Macbeth,1,2,MALCOLM,3,"'Gainst my captivity. Hail, brave friend!"
The Tragedy of Macbeth,1,2,MALCOLM,4,Say to the king the knowledge of the broil
The Tragedy of Macbeth,1,2,MALCOLM,5,As thou didst leave it.
The Tragedy of Macbeth,1,2,SERGEANT,1,Doubtful it stood;
The Tragedy of Macbeth,1,2,SERGEANT,2,"As two spent swimmers, that do cling together"
The Tragedy of Macbeth,1,2,SERGEANT,3,And choke their art. The merciless Macdonwald--
The Tragedy of Macbeth,1,2,SERGEANT,4,"Worthy to be a rebel, for to that"
The Tragedy of Macbeth,1,2,SERGEANT,5,The multiplying villanies of nature
The Tragedy of Macbeth,1,2,SERGEANT,6,Do swarm upon him--from the western isles
The Tragedy of Macbeth,1,2,SERGEANT,7,Of kerns and gallowglasses is supplied;
The Tragedy of Macbeth,1,2,SERGEANT,8,"And fortune, on his damned quarrel smiling,"
The Tragedy of Macbeth,1,2,SERGEANT,9,Show'd like a rebel's whore: but all's too weak:
The Tragedy of Macbeth,1,2,SERGEANT,10,For brave Macbeth--well he deserves that name--
The Tragedy of Macbeth,1,2,SERGEANT,11,"Disdaining fortune, with his brandish'd steel,"
The Tragedy of Macbeth,1,2,SERGEANT,12,"Which smoked with bloody execution,"
The Tragedy of Macbeth,1,2,SERGEANT,13,Like valour's minion carved out his passage
The Tragedy of Macbeth,1,2,SERGEANT,14,Till he faced the slave;
The Tragedy of Macbeth,1,2,SERGEANT,15,"Which ne'er shook hands, nor bade farewell to him,"
The Tragedy of Macbeth,1,2,SERGEANT,16,"Till he unseam'd him from the nave to the chaps,"
The Tragedy of Macbeth,1,2,SERGEANT,17,And fix'd his head upon our battlements.
The Tragedy of Macbeth,1,2,DUNCAN,1,O valiant cousin! worthy gentleman!
The Tragedy of Macbeth,1,2,SERGEANT,1,As whence the sun 'gins his reflection
The Tragedy of Macbeth,1,2,SERGEANT,2,"Shipwrecking storms and direful thunders break,"
The Tragedy of Macbeth,1,2,SERGEANT,3,So from that spring whence comfort seem'd to come
The Tragedy of Macbeth,1,2,SERGEANT,4,"Discomfort swells. Mark, king of Scotland, mark:"
The Tragedy of Macbeth,1,2,SERGEANT,5,No sooner justice had with valour arm'd
The Tragedy of Macbeth,1,2,SERGEANT,6,"Compell'd these skipping kerns to trust their heels,"
The Tragedy of Macbeth,1,2,SERGEANT,7,"But the Norweyan lord surveying vantage,"
The Tragedy of Macbeth,1,2,SERGEANT,8,With furbish'd arms and new supplies of men
The Tragedy of Macbeth,1,2,SERGEANT,9,Began a fresh assault.
The Tragedy of Macbeth,1,2,DUNCAN,1,Dismay'd not this
The Tragedy of Macbeth,1,2,DUNCAN,2,"Our captains, Macbeth and Banquo?"
The Tragedy of Macbeth,1,2,SERGEANT,1,Yes;
The Tragedy of Macbeth,1,2,SERGEANT,2,"As sparrows eagles, or the hare the lion."
The Tragedy of Macbeth,1,2,SERGEANT,3,"If I say sooth, I must report they were"
The Tragedy of Macbeth,1,2,SERGEANT,4,"As cannons overcharged with double cracks, so they"
The Tragedy of Macbeth,1,2,SERGEANT,5,Doubly redoubled strokes upon the foe:
The Tragedy of Macbeth,1,2,SERGEANT,6,"Except they meant to bathe in reeking wounds,"
The Tragedy of Macbeth,1,2,SERGEANT,7,"Or memorise another Golgotha,"
The Tragedy of Macbeth,1,2,SERGEANT,8,I cannot tell.
The Tragedy of Macbeth,1,2,SERGEANT,9,"But I am faint, my gashes cry for help."
The Tragedy of Macbeth,1,2,DUNCAN,1,So well thy words become thee as thy wounds;
The Tragedy of Macbeth,1,2,DUNCAN,2,They smack of honour both. Go get him surgeons.
The Tragedy of Macbeth,1,2,DUNCAN,3,Who comes here?
The Tragedy of Macbeth,1,2,MALCOLM,1,The worthy thane of Ross.
The Tragedy of Macbeth,1,2,LENNOX,1,What a haste looks through his eyes! So should he look
The Tragedy of Macbeth,1,2,LENNOX,2,That seems to speak things strange.
The Tragedy of Macbeth,1,2,ROSS,1,God save the king!
The Tragedy of Macbeth,1,2,DUNCAN,1,"Whence camest thou, worthy thane?"
The Tragedy of Macbeth,1,2,ROSS,1,"From Fife, great king;"
The Tragedy of Macbeth,1,2,ROSS,2,Where the Norweyan banners flout the sky
The Tragedy of Macbeth,1,2,ROSS,3,"And fan our people cold. Norway himself,"
The Tragedy of Macbeth,1,2,ROSS,4,"With terrible numbers,"
The Tragedy of Macbeth,1,2,ROSS,5,Assisted by that most disloyal traitor
The Tragedy of Macbeth,1,2,ROSS,6,"The thane of Cawdor, began a dismal conflict;"
The Tragedy of Macbeth,1,2,ROSS,7,"Till that Bellona's bridegroom, lapp'd in proof,"
The Tragedy of Macbeth,1,2,ROSS,8,"Confronted him with self-comparisons,"
The Tragedy of Macbeth,1,2,ROSS,9,"Point against point rebellious, arm 'gainst arm."
The Tragedy of Macbeth,1,2,ROSS,10,"Curbing his lavish spirit: and, to conclude,"
The Tragedy of Macbeth,1,2,ROSS,11,The victory fell on us.
The Tragedy of Macbeth,1,2,DUNCAN,1,Great happiness!
The Tragedy of Macbeth,1,2,ROSS,1,That now
The Tragedy of Macbeth,1,2,ROSS,2,"Sweno, the Norways' king, craves composition:"
The Tragedy of Macbeth,1,2,ROSS,3,Nor would we deign him burial of his men
The Tragedy of Macbeth,1,2,ROSS,4,Till he disbursed at Saint Colme's inch
The Tragedy of Macbeth,1,2,ROSS,5,Ten thousand dollars to our general use.
The Tragedy of Macbeth,1,2,DUNCAN,1,No more that thane of Cawdor shall deceive
The Tragedy of Macbeth,1,2,DUNCAN,2,"Our bosom interest: go pronounce his present death,"
The Tragedy of Macbeth,1,2,DUNCAN,3,And with his former title greet Macbeth.
The Tragedy of Macbeth,1,2,ROSS,1,I'll see it done.
The Tragedy of Macbeth,1,2,DUNCAN,1,What he hath lost noble Macbeth hath won.
The Tragedy of Macbeth,1,3,FIRST WITCH,1,"Where hast thou been, sister?"
The Tragedy of Macbeth,1,3,SECOND WITCH,1,Killing swine.
The Tragedy of Macbeth,1,3,THIRD WITCH,1,"Sister, where thou?"
