Play,Character A,Character B,Scenes Together,Scenes List,Acts Together,Scenes Together (IDs)
The Tragedy of Macbeth,ALL,ANGUS,1,1.3,1,3
The Tragedy of Macbeth,ALL,BANQUO,2,"1.3, 2.3","1, 2",3
The Tragedy of Macbeth,ALL,DONALBAIN,1,2.3,2,3
The Tragedy of Macbeth,ALL,FIRST APPARITION,1,4.1,4,1
The Tragedy of Macbeth,ALL,FIRST WITCH,3,"1.1, 1.3, 4.1","1, 4","1, 3"
The Tragedy of Macbeth,ALL,HECATE,1,4.1,4,1
The Tragedy of Macbeth,ALL,LADY MACBETH,1,2.3,2,3
The Tragedy of Macbeth,ALL,LENNOX,2,"2.3, 4.1","2, 4","1, 3"
The Tragedy of Macbeth,ALL,MACBETH,4,"1.3, 2.3, 4.1, 5.8","1, 2, 4, 5","1, 3, 8"
The Tragedy of Macbeth,ALL,MACDUFF,2,"2.3, 5.8","2, 5","3, 8"
The Tragedy of Macbeth,ALL,MALCOLM,2,"2.3, 5.8","2, 5","3, 8"
The Tragedy of Macbeth,ALL,PORTER,1,2.3,2,3
The Tragedy of Macbeth,ALL,ROSS,2,"1.3, 5.8","1, 5","3, 8"
The Tragedy of Macbeth,ALL,SECOND APPARITION,1,4.1,4,1
The Tragedy of Macbeth,ALL,SECOND WITCH,3,"1.1, 1.3, 4.1","1, 4","1, 3"
The Tragedy of Macbeth,ALL,SIWARD,1,5.8,5,8
The Tragedy of Macbeth,ALL,THIRD APPARITION,1,4.1,4,1
The Tragedy of Macbeth,ALL,THIRD WITCH,3,"1.1, 1.3, 4.1","1, 4","1, 3"
The Tragedy of Macbeth,ANGUS,BANQUO,1,1.3,1,3
The Tragedy of Macbeth,ANGUS,CAITHNESS,1,5.2,5,2
The Tragedy of Macbeth,ANGUS,FIRST WITCH,1,1.3,1,3
The Tragedy of Macbeth,ANGUS,LENNOX,1,5.2,5,2
The Tragedy of Macbeth,ANGUS,MACBETH,1,1.3,1,3
The Tragedy of Macbeth,ANGUS,MENTEITH,1,5.2,5,2
The Tragedy of Macbeth,ANGUS,ROSS,1,1.3,1,3
The Tragedy of Macbeth,ANGUS,SECOND WITCH,1,1.3,1,3
The Tragedy of Macbeth,ANGUS,THIRD WITCH,1,1.3,1,3
The Tragedy of Macbeth,ATTENDANT,BANQUO,1,3.1,3,1
The Tragedy of Macbeth,ATTENDANT,BOTH MURDERERS,1,3.1,3,1
The Tragedy of Macbeth,ATTENDANT,FIRST MURDERER,1,3.1,3,1
The Tragedy of Macbeth,ATTENDANT,LADY MACBETH,1,3.1,3,1
The Tragedy of Macbeth,ATTENDANT,MACBETH,1,3.1,3,1
The Tragedy of Macbeth,ATTENDANT,SECOND MURDERER,1,3.1,3,1
The Tragedy of Macbeth,BANQUO,BOTH MURDERERS,1,3.1,3,1
The Tragedy of Macbeth,BANQUO,DONALBAIN,1,2.3,2,3
The Tragedy of Macbeth,BANQUO,DUNCAN,2,"1.4, 1.6",1,"4, 6"
The Tragedy of Macbeth,BANQUO,FIRST MURDERER,2,"3.1, 3.3",3,"1, 3"
The Tragedy of Macbeth,BANQUO,FIRST WITCH,1,1.3,1,3
The Tragedy of Macbeth,BANQUO,FLEANCE,1,2.1,2,1
The Tragedy of Macbeth,BANQUO,LADY MACBETH,3,"1.6, 2.3, 3.1","1, 2, 3","1, 3, 6"
The Tragedy of Macbeth,BANQUO,LENNOX,1,2.3,2,3
The Tragedy of Macbeth,BANQUO,MACBETH,5,"1.3, 1.4, 2.1, 2.3, 3.1","1, 2, 3","1, 3, 4"
The Tragedy of Macbeth,BANQUO,MACDUFF,1,2.3,2,3
The Tragedy of Macbeth,BANQUO,MALCOLM,2,"1.4, 2.3","1, 2","3, 4"
The Tragedy of Macbeth,BANQUO,PORTER,1,2.3,2,3
The Tragedy of Macbeth,BANQUO,ROSS,1,1.3,1,3
The Tragedy of Macbeth,BANQUO,SECOND MURDERER,2,"3.1, 3.3",3,"1, 3"
The Tragedy of Macbeth,BANQUO,SECOND WITCH,1,1.3,1,3
The Tragedy of Macbeth,BANQUO,THIRD MURDERER,1,3.3,3,3
The Tragedy of Macbeth,BANQUO,THIRD WITCH,1,1.3,1,3
The Tragedy of Macbeth,BOTH MURDERERS,FIRST MURDERER,1,3.1,3,1
The Tragedy of Macbeth,BOTH MURDERERS,LADY MACBETH,1,3.1,3,1
The Tragedy of Macbeth,BOTH MURDERERS,MACBETH,1,3.1,3,1
The Tragedy of Macbeth,BOTH MURDERERS,SECOND MURDERER,1,3.1,3,1
The Tragedy of Macbeth,CAITHNESS,LENNOX,1,5.2,5,2
The Tragedy of Macbeth,CAITHNESS,MENTEITH,1,5.2,5,2
The Tragedy of Macbeth,DOCTOR,GENTLEWOMAN,1,5.1,5,1
The Tragedy of Macbeth,DOCTOR,LADY MACBETH,1,5.1,5,1
The Tragedy of Macbeth,DOCTOR,MACBETH,1,5.3,5,3
The Tragedy of Macbeth,DOCTOR,MACDUFF,1,4.3,4,3
The Tragedy of Macbeth,DOCTOR,MALCOLM,1,4.3,4,3
The Tragedy of Macbeth,DOCTOR,ROSS,1,4.3,4,3
The Tragedy of Macbeth,DOCTOR,SERVANT,1,5.3,5,3
The Tragedy of Macbeth,DOCTOR,SEYTON,1,5.3,5,3
The Tragedy of Macbeth,DONALBAIN,LADY MACBETH,1,2.3,2,3
The Tragedy of Macbeth,DONALBAIN,LENNOX,1,2.3,2,3
The Tragedy of Macbeth,DONALBAIN,MACBETH,1,2.3,2,3
The Tragedy of Macbeth,DONALBAIN,MACDUFF,1,2.3,2,3
The Tragedy of Macbeth,DONALBAIN,MALCOLM,1,2.3,2,3
The Tragedy of Macbeth,DONALBAIN,PORTER,1,2.3,2,3
The Tragedy of Macbeth,DUNCAN,LADY MACBETH,1,1.6,1,6
The Tragedy of Macbeth,DUNCAN,LENNOX,1,1.2,1,2
The Tragedy of Macbeth,DUNCAN,MACBETH,1,1.4,1,4
The Tragedy of Macbeth,DUNCAN,MALCOLM,2,"1.2, 1.4",1,"2, 4"
The Tragedy of Macbeth,DUNCAN,ROSS,1,1.2,1,2
The Tragedy of Macbeth,DUNCAN,SERGEANT,1,1.2,1,2
The Tragedy of Macbeth,FIRST APPARITION,FIRST WITCH,1,4.1,4,1
The Tragedy of Macbeth,FIRST APPARITION,HECATE,1,4.1,4,1
The Tragedy of Macbeth,FIRST APPARITION,LENNOX,1,4.1,4,1
The Tragedy of Macbeth,FIRST APPARITION,MACBETH,1,4.1,4,1
The Tragedy of Macbeth,FIRST APPARITION,SECOND APPARITION,1,4.1,4,1
The Tragedy of Macbeth,FIRST APPARITION,SECOND WITCH,1,4.1,4,1
