Play,Act,Scene,Character,Line Count,Text
The Tragedy of Macbeth,1,1,FIRST WITCH,12,"When shall we three meet again In thunder, lightning, or in rain?"
The Tragedy of Macbeth,1,1,SECOND WITCH,10,"When the hurlyburly's done, When the battle's lost and won."
The Tragedy of Macbeth,1,1,THIRD WITCH,8,That will be ere the set of sun.
The Tragedy of Macbeth,1,1,FIRST WITCH,3,Where the place?
The Tragedy of Macbeth,1,1,SECOND WITCH,3,Upon the heath.
The Tragedy of Macbeth,1,1,THIRD WITCH,5,There to meet with Macbeth.
The Tragedy of Macbeth,1,1,FIRST WITCH,3,"I come, Graymalkin!"
The Tragedy of Macbeth,1,1,SECOND WITCH,2,Paddock calls.
The Tragedy of Macbeth,1,1,THIRD WITCH,1,Anon.
The Tragedy of Macbeth,1,1,ALL,14,"Fair is foul, and foul is fair: Hover through the fog and filthy air."
The Tragedy of Macbeth,1,2,DUNCAN,19,"What bloody man is that? He can report, As seemeth by his plight, of the revolt The newest state."
The Tragedy of Macbeth,1,2,MALCOLM,32,"This is the sergeant Who like a good and hardy soldier fought 'Gainst my captivity. Hail, brave friend! Say to the king the knowledge of the broil As thou didst leave it."
The Tragedy of Macbeth,1,2,SERGEANT,116,"Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald-- Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him--from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth--well he deserves that name-- Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave; Which ne'er shook hands, nor bade farewell to him, Till he unseam'd him from the nave to the chaps, And fix'd his head upon our battlements."
The Tragedy of Macbeth,1,2,DUNCAN,5,O valiant cousin! worthy gentleman!
The Tragedy of Macbeth,1,2,SERGEANT,62,"As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault."
The Tragedy of Macbeth,1,2,DUNCAN,8,"Dismay'd not this Our captains, Macbeth and Banquo?"
The Tragedy of Macbeth,1,2,SERGEANT,56,"Yes; As sparrows eagles, or the hare the lion. If I say sooth, I must report they were As cannons overcharged with double cracks, so they Doubly redoubled strokes upon the foe: Except they meant to bathe in reeking wounds, Or memorise another Golgotha, I cannot tell. But I am faint, my gashes cry for help."
The Tragedy of Macbeth,1,2,DUNCAN,21,So well thy words become thee as thy wounds; They smack of honour both. Go get him surgeons. Who comes here?
The Tragedy of Macbeth,1,2,MALCOLM,5,The worthy thane of Ross.
The Tragedy of Macbeth,1,2,LENNOX,17,What a haste looks through his eyes! So should he look That seems to speak things strange.
The Tragedy of Macbeth,1,2,ROSS,4,God save the king!
The Tragedy of Macbeth,1,2,DUNCAN,5,"Whence camest thou, worthy thane?"
The Tragedy of Macbeth,1,2,ROSS,65,"From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm. Curbing his lavish spirit: and, to conclude, The victory fell on us."
The Tragedy of Macbeth,1,2,DUNCAN,2,Great happiness!
The Tragedy of Macbeth,1,2,ROSS,31,"That now Sweno, the Norways' king, craves composition: Nor would we deign him burial of his men Till he disbursed at Saint Colme's inch Ten thousand dollars to our general use."
The Tragedy of Macbeth,1,2,DUNCAN,23,"No more that thane of Cawdor shall deceive Our bosom interest: go pronounce his present death, And with his former title greet Macbeth."
The Tragedy of Macbeth,1,2,ROSS,4,I'll see it done.
The Tragedy of Macbeth,1,2,DUNCAN,8,What he hath lost noble Macbeth hath won.
The Tragedy of Macbeth,1,3,FIRST WITCH,5,"Where hast thou been, sister?"
The Tragedy of Macbeth,1,3,SECOND WITCH,2,Killing swine.
The Tragedy of Macbeth,1,3,THIRD WITCH,3,"Sister, where thou?"
The Tragedy of Macbeth,1,3,FIRST WITCH,55,"A sailor's wife had chestnuts in her lap, And munch'd, and munch'd, and munch'd:-- 'Give me,' quoth I: 'Aroint thee, witch!' the rump-fed ronyon cries. Her husband's to Aleppo gone, master o' the Tiger: But in a sieve I'll thither sail, And, like a rat without a tail, I'll do, I'll do, and I'll do."
The Tragedy of Macbeth,1,3,SECOND WITCH,5,I'll give thee a wind.
The Tragedy of Macbeth,1,3,FIRST WITCH,2,Thou'rt kind.
The Tragedy of Macbeth,1,3,THIRD WITCH,3,And I another.
The Tragedy of Macbeth,1,3,FIRST WITCH,72,"I myself have all the other, And the very ports they blow, All the quarters that they know I' the shipman's card. I will drain him dry as hay: Sleep shall neither night nor day Hang upon his pent-house lid; He shall live a man forbid: Weary se'nnights nine times nine Shall he dwindle, peak and pine: Though his bark cannot be lost, Yet it shall be tempest-tost. Look what I have."
The Tragedy of Macbeth,1,3,SECOND WITCH,4,"Show me, show me."
The Tragedy of Macbeth,1,3,FIRST WITCH,12,"Here I have a pilot's thumb, Wreck'd as homeward he did come."
The Tragedy of Macbeth,1,3,THIRD WITCH,7,"A drum, a drum! Macbeth doth come."
The Tragedy of Macbeth,1,3,ALL,36,"The weird sisters, hand in hand, Posters of the sea and land, Thus do go about, about: Thrice to thine and thrice to mine And thrice again, to make up nine. Peace! the charm's wound up."
The Tragedy of Macbeth,1,3,MACBETH,10,So foul and fair a day I have not seen.
The Tragedy of Macbeth,1,3,BANQUO,73,"How far is't call'd to Forres? What are these So wither'd and so wild in their attire, That look not like the inhabitants o' the earth, And yet are on't? Live you? or are you aught That man may question? You seem to understand me, By each at once her chappy finger laying Upon her skinny lips: you should be women, And yet your beards forbid me to interpret That you are so."
The Tragedy of Macbeth,1,3,MACBETH,7,"Speak, if you can: what are you?"
The Tragedy of Macbeth,1,3,FIRST WITCH,9,"All hail, Macbeth! hail to thee, thane of Glamis!"
The Tragedy of Macbeth,1,3,SECOND WITCH,9,"All hail, Macbeth, hail to thee, thane of Cawdor!"
The Tragedy of Macbeth,1,3,THIRD WITCH,8,"All hail, Macbeth, thou shalt be king hereafter!"
The Tragedy of Macbeth,1,3,BANQUO,92,"Good sir, why do you start; and seem to fear Things that do sound so fair? I' the name of truth, Are ye fantastical, or that indeed Which outwardly ye show? My noble partner You greet with present grace and great prediction Of noble having and of royal hope, That he seems rapt withal: to me you speak not. If you can look into the seeds of time, And say which grain will grow and which will not, Speak then to me, who neither beg nor fear Your favours nor your hate."
The Tragedy of Macbeth,1,3,FIRST WITCH,1,Hail!
The Tragedy of Macbeth,1,3,SECOND WITCH,1,Hail!
The Tragedy of Macbeth,1,3,THIRD WITCH,1,Hail!
The Tragedy of Macbeth,1,3,FIRST WITCH,5,"Lesser than Macbeth, and greater."
The Tragedy of Macbeth,1,3,SECOND WITCH,6,"Not so happy, yet much happier."
The Tragedy of Macbeth,1,3,THIRD WITCH,14,"Thou shalt get kings, though thou be none: So all hail, Macbeth and Banquo!"
The Tragedy of Macbeth,1,3,FIRST WITCH,5,"Banquo and Macbeth, all hail!"
The Tragedy of Macbeth,1,3,MACBETH,72,"Stay, you imperfect speakers, tell me more: By Sinel's death I know I am thane of Glamis; But how of Cawdor? the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor. Say from whence You owe this strange intelligence? or why Upon this blasted heath you stop our way With such prophetic greeting? Speak, I charge you."
The Tragedy of Macbeth,1,3,BANQUO,17,"The earth hath bubbles, as the water has, And these are of them. Whither are they vanish'd?"
The Tragedy of Macbeth,1,3,MACBETH,17,Into the air; and what seem'd corporal melted As breath into the wind. Would they had stay'd!
The Tragedy of Macbeth,1,3,BANQUO,22,Were such things here as we do speak about? Or have we eaten on the insane root That takes the reason prisoner?
