Play,Act,Scene,Speeches,Dialogue Lines,Unique Speakers
"The Tragedy of Othello, the Moor of Venice",1,1,45,195,3
"The Tragedy of Othello, the Moor of Venice",1,2,32,117,6
"The Tragedy of Othello, the Moor of Venice",1,3,84,423,12
"The Tragedy of Othello, the Moor of Venice",2,1,85,331,12
"The Tragedy of Othello, the Moor of Venice",2,2,1,12,1
"The Tragedy of Othello, the Moor of Venice",2,3,99,388,7
"The Tragedy of Othello, the Moor of Venice",3,1,25,62,5
"The Tragedy of Othello, the Moor of Venice",3,2,4,7,3
"The Tragedy of Othello, the Moor of Venice",3,3,161,530,5
"The Tragedy of Othello, the Moor of Venice",3,4,93,224,7
"The Tragedy of Othello, the Moor of Venice",4,1,144,307,6
"The Tragedy of Othello, the Moor of Venice",4,2,103,268,5
"The Tragedy of Othello, the Moor of Venice",4,3,42,110,4
"The Tragedy of Othello, the Moor of Venice",5,1,78,143,8
"The Tragedy of Othello, the Moor of Venice",5,2,175,416,9
