Play,Act,Scene,Character,Line Number,Text
"The Tragedy of Othello, the Moor of Venice",1,1,RODERIGO,1,Tush! never tell me; I take it much unkindly
"The Tragedy of Othello, the Moor of Venice",1,1,RODERIGO,2,"That thou, Iago, who hast had my purse"
"The Tragedy of Othello, the Moor of Venice",1,1,RODERIGO,3,"As if the strings were thine, shouldst know of this."
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,1,"'Sblood, but you will not hear me:"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,2,"If ever I did dream of such a matter, Abhor me."
"The Tragedy of Othello, the Moor of Venice",1,1,RODERIGO,1,Thou told'st me thou didst hold him in thy hate.
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,1,"Despise me, if I do not. Three great ones of the city,"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,2,"In personal suit to make me his lieutenant,"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,3,"Off-capp'd to him: and, by the faith of man,"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,4,"I know my price, I am worth no worse a place:"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,5,"But he; as loving his own pride and purposes,"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,6,"Evades them, with a bombast circumstance"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,7,Horribly stuff'd with epithets of war;
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,8,"And, in conclusion,"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,9,"Nonsuits my mediators; for, 'Certes,' says he,"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,10,'I have already chose my officer.'
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,11,And what was he?
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,12,"Forsooth, a great arithmetician,"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,13,"One Michael Cassio, a Florentine,"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,14,A fellow almost damn'd in a fair wife;
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,15,"That never set a squadron in the field,"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,16,Nor the division of a battle knows
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,17,"More than a spinster; unless the bookish theoric,"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,18,Wherein the toged consuls can propose
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,19,"As masterly as he: mere prattle, without practise,"
"The Tragedy of Othello, the Moor of Venice",1,1,IAGO,20,"Is all his soldiership. But he, sir, had the election:"
