Play,Act,Scene,Speeches,Dialogue Lines,Unique Speakers
The Tragedy of Romeo and Juliet,1,1,95,237,12
The Tragedy of Romeo and Juliet,1,2,29,103,5
The Tragedy of Romeo and Juliet,1,3,29,110,4
The Tragedy of Romeo and Juliet,1,4,28,120,3
The Tragedy of Romeo and Juliet,1,5,54,152,10
The Tragedy of Romeo and Juliet,2,1,10,45,3
The Tragedy of Romeo and Juliet,2,2,52,201,2
The Tragedy of Romeo and Juliet,2,3,19,97,2
The Tragedy of Romeo and Juliet,2,4,92,208,5
The Tragedy of Romeo and Juliet,2,5,19,80,2
The Tragedy of Romeo and Juliet,2,6,9,37,3
The Tragedy of Romeo and Juliet,3,1,60,203,8
The Tragedy of Romeo and Juliet,3,2,23,147,2
The Tragedy of Romeo and Juliet,3,3,38,178,3
The Tragedy of Romeo and Juliet,3,4,8,37,3
The Tragedy of Romeo and Juliet,3,5,67,253,5
The Tragedy of Romeo and Juliet,4,1,33,126,3
The Tragedy of Romeo and Juliet,4,2,18,48,6
The Tragedy of Romeo and Juliet,4,3,5,59,2
The Tragedy of Romeo and Juliet,4,4,11,31,5
The Tragedy of Romeo and Juliet,4,5,48,142,10
The Tragedy of Romeo and Juliet,5,1,15,90,3
The Tragedy of Romeo and Juliet,5,2,8,30,2
The Tragedy of Romeo and Juliet,5,3,64,318,13
