Play,Act,Scene,Character,Line Number,Text
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"Gregory, o' my word, we'll not carry coals."
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,"No, for then we should be colliers."
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"I mean, an we be in choler, we'll draw."
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,"Ay, while you live, draw your neck out o' the collar."
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"I strike quickly, being moved."
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,But thou art not quickly moved to strike.
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,A dog of the house of Montague moves me.
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,To move is to stir; and to be valiant is to stand:
The Tragedy of Romeo and Juliet,1,1,GREGORY,2,"therefore, if thou art moved, thou runn'st away."
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,A dog of that house shall move me to stand: I will
The Tragedy of Romeo and Juliet,1,1,SAMPSON,2,take the wall of any man or maid of Montague's.
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,That shows thee a weak slave; for the weakest goes
The Tragedy of Romeo and Juliet,1,1,GREGORY,2,to the wall.
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"True; and therefore women, being the weaker vessels,"
The Tragedy of Romeo and Juliet,1,1,SAMPSON,2,are ever thrust to the wall: therefore I will push
The Tragedy of Romeo and Juliet,1,1,SAMPSON,3,"Montague's men from the wall, and thrust his maids"
The Tragedy of Romeo and Juliet,1,1,SAMPSON,4,to the wall.
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,The quarrel is between our masters and us their men.
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"'Tis all one, I will show myself a tyrant: when I"
The Tragedy of Romeo and Juliet,1,1,SAMPSON,2,"have fought with the men, I will be cruel with the"
The Tragedy of Romeo and Juliet,1,1,SAMPSON,3,"maids, and cut off their heads."
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,The heads of the maids?
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"Ay, the heads of the maids, or their maidenheads;"
The Tragedy of Romeo and Juliet,1,1,SAMPSON,2,take it in what sense thou wilt.
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,They must take it in sense that feel it.
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,Me they shall feel while I am able to stand: and
The Tragedy of Romeo and Juliet,1,1,SAMPSON,2,'tis known I am a pretty piece of flesh.
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,"'Tis well thou art not fish; if thou hadst, thou"
The Tragedy of Romeo and Juliet,1,1,GREGORY,2,hadst been poor John. Draw thy tool! here comes
The Tragedy of Romeo and Juliet,1,1,GREGORY,3,two of the house of the Montagues.
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"My naked weapon is out: quarrel, I will back thee."
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,How! turn thy back and run?
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,Fear me not.
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,"No, marry; I fear thee!"
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,Let us take the law of our sides; let them begin.
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,"I will frown as I pass by, and let them take it as"
The Tragedy of Romeo and Juliet,1,1,GREGORY,2,they list.
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"Nay, as they dare. I will bite my thumb at them;"
The Tragedy of Romeo and Juliet,1,1,SAMPSON,2,"which is a disgrace to them, if they bear it."
The Tragedy of Romeo and Juliet,1,1,ABRAHAM,1,"Do you bite your thumb at us, sir?"
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"I do bite my thumb, sir."
The Tragedy of Romeo and Juliet,1,1,ABRAHAM,1,"Do you bite your thumb at us, sir?"
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,ay?
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,No.
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"No, sir, I do not bite my thumb at you, sir, but I"
The Tragedy of Romeo and Juliet,1,1,SAMPSON,2,"bite my thumb, sir."
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,"Do you quarrel, sir?"
The Tragedy of Romeo and Juliet,1,1,ABRAHAM,1,"Quarrel sir! no, sir."
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"If you do, sir, I am for you: I serve as good a man as you."
The Tragedy of Romeo and Juliet,1,1,ABRAHAM,1,No better.
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"Well, sir."
The Tragedy of Romeo and Juliet,1,1,GREGORY,1,Say 'better:' here comes one of my master's kinsmen.
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"Yes, better, sir."
The Tragedy of Romeo and Juliet,1,1,ABRAHAM,1,You lie.
The Tragedy of Romeo and Juliet,1,1,SAMPSON,1,"Draw, if you be men. Gregory, remember thy swashing blow."
The Tragedy of Romeo and Juliet,1,1,BENVOLIO,1,"Part, fools!"
The Tragedy of Romeo and Juliet,1,1,BENVOLIO,2,Put up your swords; you know not what you do.
The Tragedy of Romeo and Juliet,1,1,TYBALT,1,"What, art thou drawn among these heartless hinds?"
The Tragedy of Romeo and Juliet,1,1,TYBALT,2,"Turn thee, Benvolio, look upon thy death."
The Tragedy of Romeo and Juliet,1,1,BENVOLIO,1,"I do but keep the peace: put up thy sword,"
The Tragedy of Romeo and Juliet,1,1,BENVOLIO,2,Or manage it to part these men with me.
The Tragedy of Romeo and Juliet,1,1,TYBALT,1,"What, drawn, and talk of peace! I hate the word,"
The Tragedy of Romeo and Juliet,1,1,TYBALT,2,"As I hate hell, all Montagues, and thee:"
The Tragedy of Romeo and Juliet,1,1,TYBALT,3,"Have at thee, coward!"
The Tragedy of Romeo and Juliet,1,1,FIRST CITIZEN,1,"Clubs, bills, and partisans! strike! beat them down!"
The Tragedy of Romeo and Juliet,1,1,FIRST CITIZEN,2,Down with the Capulets! down with the Montagues!
The Tragedy of Romeo and Juliet,1,1,CAPULET,1,"What noise is this? Give me my long sword, ho!"
The Tragedy of Romeo and Juliet,1,1,LADY CAPULET,1,"A crutch, a crutch! why call you for a sword?"
The Tragedy of Romeo and Juliet,1,1,CAPULET,1,"My sword, I say! Old Montague is come,"
The Tragedy of Romeo and Juliet,1,1,CAPULET,2,And flourishes his blade in spite of me.
The Tragedy of Romeo and Juliet,1,1,MONTAGUE,1,"Thou villain Capulet,--Hold me not, let me go."
The Tragedy of Romeo and Juliet,1,1,LADY MONTAGUE,1,Thou shalt not stir a foot to seek a foe.
The Tragedy of Romeo and Juliet,1,1,PRINCE,1,"Rebellious subjects, enemies to peace,"
The Tragedy of Romeo and Juliet,1,1,PRINCE,2,"Profaners of this neighbour-stained steel,--"
The Tragedy of Romeo and Juliet,1,1,PRINCE,3,"Will they not hear? What, ho! you men, you beasts,"
The Tragedy of Romeo and Juliet,1,1,PRINCE,4,That quench the fire of your pernicious rage
The Tragedy of Romeo and Juliet,1,1,PRINCE,5,"With purple fountains issuing from your veins,"
The Tragedy of Romeo and Juliet,1,1,PRINCE,6,"On pain of torture, from those bloody hands"
The Tragedy of Romeo and Juliet,1,1,PRINCE,7,"Throw your mistemper'd weapons to the ground,"
The Tragedy of Romeo and Juliet,1,1,PRINCE,8,And hear the sentence of your moved prince.
The Tragedy of Romeo and Juliet,1,1,PRINCE,9,"Three civil brawls, bred of an airy word,"
The Tragedy of Romeo and Juliet,1,1,PRINCE,10,"By thee, old Capulet, and Montague,"
The Tragedy of Romeo and Juliet,1,1,PRINCE,11,"Have thrice disturb'd the quiet of our streets,"
The Tragedy of Romeo and Juliet,1,1,PRINCE,12,And made Verona's ancient citizens
The Tragedy of Romeo and Juliet,1,1,PRINCE,13,"Cast by their grave beseeming ornaments,"
The Tragedy of Romeo and Juliet,1,1,PRINCE,14,"To wield old partisans, in hands as old,"
The Tragedy of Romeo and Juliet,1,1,PRINCE,15,"Canker'd with peace, to part your canker'd hate:"
The Tragedy of Romeo and Juliet,1,1,PRINCE,16,"If ever you disturb our streets again,"
The Tragedy of Romeo and Juliet,1,1,PRINCE,17,Your lives shall pay the forfeit of the peace.
The Tragedy of Romeo and Juliet,1,1,PRINCE,18,"For this time, all the rest depart away:"
The Tragedy of Romeo and Juliet,1,1,PRINCE,19,You Capulet; shall go along with me:
The Tragedy of Romeo and Juliet,1,1,PRINCE,20,"And, Montague, come you this afternoon,"
The Tragedy of Romeo and Juliet,1,1,PRINCE,21,"To know our further pleasure in this case,"
The Tragedy of Romeo and Juliet,1,1,PRINCE,22,"To old Free-town, our common judgment-place."
The Tragedy of Romeo and Juliet,1,1,PRINCE,23,"Once more, on pain of death, all men depart."
