Play,Character A,Character B,Scenes Together,Scenes List,Acts Together,Scenes Together (IDs)
The Tragedy of Romeo and Juliet,ABRAHAM,BENVOLIO,1,1.1,1,1
The Tragedy of Romeo and Juliet,ABRAHAM,CAPULET,1,1.1,1,1
The Tragedy of Romeo and Juliet,ABRAHAM,FIRST CITIZEN,1,1.1,1,1
The Tragedy of Romeo and Juliet,ABRAHAM,GREGORY,1,1.1,1,1
The Tragedy of Romeo and Juliet,ABRAHAM,LADY CAPULET,1,1.1,1,1
The Tragedy of Romeo and Juliet,ABRAHAM,LADY MONTAGUE,1,1.1,1,1
The Tragedy of Romeo and Juliet,ABRAHAM,MONTAGUE,1,1.1,1,1
The Tragedy of Romeo and Juliet,ABRAHAM,PRINCE,1,1.1,1,1
The Tragedy of Romeo and Juliet,ABRAHAM,ROMEO,1,1.1,1,1
The Tragedy of Romeo and Juliet,ABRAHAM,SAMPSON,1,1.1,1,1
The Tragedy of Romeo and Juliet,ABRAHAM,TYBALT,1,1.1,1,1
The Tragedy of Romeo and Juliet,APOTHECARY,BALTHASAR,1,5.1,5,1
The Tragedy of Romeo and Juliet,APOTHECARY,ROMEO,1,5.1,5,1
The Tragedy of Romeo and Juliet,BALTHASAR,CAPULET,1,5.3,5,3
The Tragedy of Romeo and Juliet,BALTHASAR,FIRST WATCHMAN,1,5.3,5,3
The Tragedy of Romeo and Juliet,BALTHASAR,FRIAR LAURENCE,1,5.3,5,3
The Tragedy of Romeo and Juliet,BALTHASAR,JULIET,1,5.3,5,3
The Tragedy of Romeo and Juliet,BALTHASAR,LADY CAPULET,1,5.3,5,3
The Tragedy of Romeo and Juliet,BALTHASAR,MONTAGUE,1,5.3,5,3
The Tragedy of Romeo and Juliet,BALTHASAR,PAGE,1,5.3,5,3
The Tragedy of Romeo and Juliet,BALTHASAR,PARIS,1,5.3,5,3
The Tragedy of Romeo and Juliet,BALTHASAR,PRINCE,1,5.3,5,3
The Tragedy of Romeo and Juliet,BALTHASAR,ROMEO,2,"5.1, 5.3",5,"1, 3"
The Tragedy of Romeo and Juliet,BALTHASAR,SECOND WATCHMAN,1,5.3,5,3
The Tragedy of Romeo and Juliet,BALTHASAR,THIRD WATCHMAN,1,5.3,5,3
The Tragedy of Romeo and Juliet,BENVOLIO,CAPULET,3,"1.1, 1.2, 1.5",1,"1, 2, 5"
The Tragedy of Romeo and Juliet,BENVOLIO,FIRST CITIZEN,2,"1.1, 3.1","1, 3",1
The Tragedy of Romeo and Juliet,BENVOLIO,FIRST SERVANT,1,1.5,1,5
The Tragedy of Romeo and Juliet,BENVOLIO,GREGORY,1,1.1,1,1
The Tragedy of Romeo and Juliet,BENVOLIO,JULIET,1,1.5,1,5
The Tragedy of Romeo and Juliet,BENVOLIO,LADY CAPULET,2,"1.1, 3.1","1, 3",1
The Tragedy of Romeo and Juliet,BENVOLIO,LADY MONTAGUE,1,1.1,1,1
The Tragedy of Romeo and Juliet,BENVOLIO,MERCUTIO,4,"1.4, 2.1, 2.4, 3.1","1, 2, 3","1, 4"
The Tragedy of Romeo and Juliet,BENVOLIO,MONTAGUE,2,"1.1, 3.1","1, 3",1
The Tragedy of Romeo and Juliet,BENVOLIO,NURSE,2,"1.5, 2.4","1, 2","4, 5"
The Tragedy of Romeo and Juliet,BENVOLIO,PARIS,1,1.2,1,2
The Tragedy of Romeo and Juliet,BENVOLIO,PETER,1,2.4,2,4
The Tragedy of Romeo and Juliet,BENVOLIO,PRINCE,2,"1.1, 3.1","1, 3",1
The Tragedy of Romeo and Juliet,BENVOLIO,ROMEO,7,"1.1, 1.2, 1.4, 1.5, 2.1, 2.4, 3.1","1, 2, 3","1, 2, 4, 5"
The Tragedy of Romeo and Juliet,BENVOLIO,SAMPSON,1,1.1,1,1
