Play,Character,Total Speeches,Scenes Appeared,Speech Share (%),Avg Speeches/Scene,Role Type
A Midsummer Night's Dream,BOTTOM,50,5,10.0,10.0,main
A Midsummer Night's Dream,LYSANDER,50,5,10.0,10.0,main
A Midsummer Night's Dream,DEMETRIUS,48,6,9.6,8.0,main
A Midsummer Night's Dream,THESEUS,48,3,9.6,16.0,main
A Midsummer Night's Dream,HERMIA,47,4,9.4,11.75,main
A Midsummer Night's Dream,QUINCE,38,3,7.6,12.67,main
A Midsummer Night's Dream,HELENA,36,5,7.2,7.2,main
A Midsummer Night's Dream,PUCK,33,6,6.6,5.5,main
A Midsummer Night's Dream,OBERON,29,5,5.8,5.8,main
A Midsummer Night's Dream,TITANIA,23,5,4.6,4.6,main
A Midsummer Night's Dream,HIPPOLYTA,14,3,2.8,4.67,main
A Midsummer Night's Dream,FLUTE,10,3,2.0,3.33,main
A Midsummer Night's Dream,Pyramus,9,1,1.8,9.0,side
A Midsummer Night's Dream,Thisbe,8,1,1.6,8.0,side
A Midsummer Night's Dream,SNOUT,7,2,1.4,3.5,main
A Midsummer Night's Dream,EGEUS,7,2,1.4,3.5,main
A Midsummer Night's Dream,PHILOSTRATE,6,1,1.2,6.0,main
A Midsummer Night's Dream,MUSTARDSEED,5,2,1.0,2.5,main
A Midsummer Night's Dream,STARVELING,4,3,0.8,1.33,main
A Midsummer Night's Dream,Fairy,4,2,0.8,2.0,side
A Midsummer Night's Dream,COBWEB,4,2,0.8,2.0,main
A Midsummer Night's Dream,PEASEBLOSSOM,4,2,0.8,2.0,main
A Midsummer Night's Dream,Moonshine,3,1,0.6,3.0,side
A Midsummer Night's Dream,Prologue,2,1,0.4,2.0,side
A Midsummer Night's Dream,MOTH,2,1,0.4,2.0,main
A Midsummer Night's Dream,Lion,2,1,0.4,2.0,side
A Midsummer Night's Dream,ALL,2,2,0.4,1.0,side
A Midsummer Night's Dream,SNUG,2,2,0.4,1.0,main
A Midsummer Night's Dream,Wall,2,1,0.4,2.0,side
A Midsummer Night's Dream,HERNIA,1,1,0.2,1.0,side
"The Tragedy of Hamlet, Prince of Denmark",HAMLET,359,13,31.22,27.62,main
"The Tragedy of Hamlet, Prince of Denmark",HORATIO,112,9,9.74,12.44,main
"The Tragedy of Hamlet, Prince of Denmark",KING CLAUDIUS,102,11,8.87,9.27,side
"The Tragedy of Hamlet, Prince of Denmark",LORD POLONIUS,86,8,7.48,10.75,side
"The Tragedy of Hamlet, Prince of Denmark",QUEEN GERTRUDE,69,10,6.0,6.9,side
"The Tragedy of Hamlet, Prince of Denmark",LAERTES,62,6,5.39,10.33,main
"The Tragedy of Hamlet, Prince of Denmark",OPHELIA,58,5,5.04,11.6,main
